id,poj_input,poj_unicode,tailo_input,tailo_unicode,hanlo,hoagi,from
2889,chhui3,chhùi,tshui3,tshuì,喙,嘴巴,Justin Richard Leung
2890,chhui3-chhiu,chhùi-chhiu,tshui3-tshiu,tshuì-tshiu,喙鬚,鬍子,Justin Richard Leung
2891,na5-au5-cheng-a2,nâ-aû-cheng-á,na5-au5-tsing-a2,nâ-âu-tsing-á,嚨喉鐘仔,懸雍垂,Justin Richard Leung
2892,chhui3-noa7-soann3,chhùi-nōa-sòaⁿ,tshui3-nua7-suann3,tshuì-nuā-suànn,喙瀾腺,唾液腺,Justin Richard Leung
2893,phinn7-chiam,phīⁿ-chiam,phinn7-tsiam,phīnn-tsiam,鼻尖,鼻尖,Justin Richard Leung
2894,lui7-soann3,lūi-sòaⁿ,lui7-suann3,luī-suànn,淚腺,淚腺,Justin Richard Leung
2895,phinn7-lok-kong2,phīⁿ-lok-kóng,phinn7-lok-kong2,phīnn-lok-kóng,鼻橐管,鼻竇,Justin Richard Leung
2896,phinn7-lui7-kong2,phīⁿ-lūi-kóng,phinn7-lui7-kong2,phīnn-luī-kóng,鼻淚管,鼻淚管,Justin Richard Leung
2897,phinn7-kut,phīⁿ-kut,phinn7-kut,phīnn-kut,鼻骨,鼻骨,Justin Richard Leung
2898,phinn7-tiong-keh,phīⁿ-tiong-keh,phinn7-tiong-keh,phīnn-tiong-keh,鼻中隔,鼻中隔,Justin Richard Leung
2899,hinn7-poe,hīⁿ-poe,hinn7-pue,hīnn-pue,耳桮,耳殼,Justin Richard Leung
2900,hinn7-tun5,hīⁿ-tûn,hinn7-tun5,hīnn-tûn,耳脣,耳殼,Justin Richard Leung
2901,a-lu2-mih,a-lú-mih,a-lu2-mih,a-lú-mih,a-lú-mih,鋁,匿名
2902,a-moo2-ni2-a2,a-mó͘-ní-á,a-moo2-ni2-a2,a-móo-ní-á,a-móo-ní-á,阿摩尼亞,匿名
2903,a-ni2-khih,a-ní-khih,a-ni2-khih,a-ní-khih,a-ní-khih,老兄,匿名
2904,a-si2r-phi2-lin2,a-si2r-phí-lín,a-si2r-phi2-lin2,a-sír-phí-lín,a-sír-phí-lín,阿斯匹林,匿名
2905,a2-geh,á-geh,a2-geh,á-geh,á-geh,阿給,匿名
2906,a2-geh,á-geh,a2-geh,á-geh,á-geh,油豆腐,匿名
2907,ai9-sat-chuh,aĭ-sat-chuh,ai9-sat-tsuh,a̋i-sat-tsuh,a̋i-sat-tsuh,打招呼,匿名
2908,ai9-sat-chuh,aĭ-sat-chuh,ai9-sat-tsuh,a̋i-sat-tsuh,a̋i-sat-tsuh,問候,匿名
2909,ai2-si8rh-khu-lin2-mu3,aí-si8rh-khu-lín-mù,ai2-si8rh-khu-lin2-mu3,ái-si̍rh-khu-lín-mù,ái-si̍rh-khu-lín-mù,冰淇淋,匿名
2910,an3-nai7,àn-nāi,an3-nai7,àn-nāi,àn-nāi,招待,匿名
2911,an3-nai7,àn-nāi,an3-nai7,àn-nāi,àn-nāi,引導,匿名
2912,at8-sa2-lih,a̍t-sá-lih,at8-sa2-lih,a̍t-sá-lih,a̍t-sá-lih,乾脆,匿名
2913,at8-sa2-lih,a̍t-sá-lih,at8-sa2-lih,a̍t-sá-lih,a̍t-sá-lih,阿莎力,匿名
2914,au3-chuh,aù-chuh,au3-tsuh,àu-tsuh,àu-tsuh,出局,匿名
2915,ba2-luh,bá-luh,ba2-luh,bá-luh,bá-luh,拔釘器,匿名
2916,ba2-suh,bá-suh,ba2-suh,bá-suh,bá-suh,巴士,匿名
2917,ba2-suh,bá-suh,ba2-suh,bá-suh,bá-suh,公共汽車,匿名
2918,ba2-tah,bá-tah,ba2-tah,bá-tah,bá-tah,奶油,匿名
2919,bai-oo2-lin2,bai-ó͘-lín,bai-oo2-lin2,bai-óo-lín,bai-óo-lín,小提琴,匿名
2920,bai9-khin2,băi-khín,bai9-khin2,ba̋i-khín,ba̋i-khín,黴菌,匿名
2921,bai9-khin2,băi-khín,bai9-khin2,ba̋i-khín,ba̋i-khín,細菌,匿名
2922,bak-kuh,bak-kuh,bak-kuh,bak-kuh,bak-kuh,倒車,匿名
2923,ban3-ba3,bàn-bà,ban3-ba3,bàn-bà,bàn-bà,保險桿,匿名
2924,bang2-ga3,báng-gà,bang2-ga3,báng-gà,báng-gà,漫畫,匿名
2925,bang2-ga3,báng-gà,bang2-ga3,báng-gà,báng-gà,動畫片,匿名
2926,bang2-ga3,báng-gà,bang2-ga3,báng-gà,báng-gà,卡通,匿名
2927,bat8-te2-lih,ba̍t-té-lih,bat8-te2-lih,ba̍t-té-lih,ba̍t-té-lih,蓄電池,匿名
2928,bat-tah,bat-tah,bat-tah,bat-tah,bat-tah,球棒,匿名
2929,bi-ta2-bin2,bi-tá-bín,bi-ta2-bin2,bi-tá-bín,bi-tá-bín,維他命,匿名
2930,bi3-lu3,bì-lù,bi3-lu3,bì-lù,bì-lù,啤酒,匿名
2931,biat-tooh,biat-to͘h,biat-tooh,biat-tooh,biat-tooh,彈簧床,匿名
2932,bok8-sin3-gu3,bo̍k-sìn-gù,bok8-sin3-gu3,bo̍k-sìn-gù,bo̍k-sìn-gù,拳擊,匿名
2933,boo3-lu3,bò͘-lù,boo3-lu3,bòo-lù,bòo-lù,壞球,匿名
2934,boo3-too3,bò͘-tò͘,boo3-too3,bòo-tòo,bòo-tòo,小船,匿名
2935,bu-la3-jia3,bu-là-jià,bu-la3-jia3,bu-là-jià,bu-là-jià,胸罩,匿名
2936,e-pu2-long2,e-pú-lóng,e-pu2-long2,e-pú-lóng,e-pú-lóng,圍裙,匿名
2937,ga-soo2-lin2,ga-só͘-lín,ga-soo2-lin2,ga-sóo-lín,ga-sóo-lín,汽油,匿名
2938,ga2-lah,gá-lah,ga2-lah,gá-lah,gá-lah,焦炭,匿名
2939,ga2-suh,gá-suh,ga2-suh,gá-suh,gá-suh,瓦斯,匿名
2940,gi3-ta3,gì-tà,gi3-ta3,gì-tà,gì-tà,吉他,匿名
2941,giang7,giāng,giang7,giāng,giāng,猜拳,匿名
2942,goo7-boo7,gō͘-bō͘,goo7-boo7,gōo-bōo,gōo-bōo,牛蒡,匿名
2943,goo-lu2-huh,go͘-lú-huh,goo-lu2-huh,goo-lú-huh,goo-lú-huh,高爾夫球,匿名
2944,ha-moo2-ni2-khah,ha-mó͘-ní-khah,ha-moo2-ni2-khah,ha-móo-ní-khah,ha-móo-ní-khah,口琴,匿名
2945,ha2-muh,há-muh,ha2-muh,há-muh,há-muh,洋火腿,匿名
2946,hai9-khe2-kha2-kuh,hăi-khé-khá-kuh,hai9-khe2-kha2-kuh,ha̋i-khé-khá-kuh,ha̋i-khé-khá-kuh,肺結核,匿名
2947,hai3-ia3,hài-ià,hai3-ia3,hài-ià,hài-ià,包租汽車,匿名
2948,hai3-ia3,hài-ià,hai3-ia3,hài-ià,hài-ià,高級轎車,匿名
2949,hai2-kat-la2,hái-kat-lá,hai2-kat-la2,hái-kat-lá,hái-kat-lá,西裝頭,匿名
2950,han9-too2-luh,hăn-tó͘-luh,han9-too2-luh,ha̋n-tóo-luh,ha̋n-tóo-luh,方向盤,匿名
2951,hang9-goo2,hăng-gó͘,hang9-goo2,ha̋ng-góo,ha̋ng-góo,飯鍋,匿名
2952,hi-noo2-khih,hi-nó͘-khih,hi-noo2-khih,hi-nóo-khih,hi-nóo-khih,檜木,匿名
2953,hoo-lu2-bong2,ho͘-lú-bóng,hoo-lu2-bong2,hoo-lú-bóng,hoo-lú-bóng,荷爾蒙,匿名
2954,hoo-te2-luh,ho͘-té-luh,hoo-te2-luh,hoo-té-luh,hoo-té-luh,飯店,匿名
2955,hoo-te2-luh,ho͘-té-luh,hoo-te2-luh,hoo-té-luh,hoo-té-luh,旅社,匿名
2956,hu2-looh,hú-lo͘h,hu2-looh,hú-looh,hú-looh,浴桶,匿名
2957,hu2-looh,hú-lo͘h,hu2-looh,hú-looh,hú-looh,風呂,匿名
2958,hu2-looh,hú-lo͘h,hu2-looh,hú-looh,hú-looh,洗澡,匿名
2959,ia2-mih,iá-mih,ia2-mih,iá-mih,iá-mih,黑市,匿名
2960,ian9-jin2,iăn-jín,ian9-jin2,ia̋n-jín,ia̋n-jín,引擎,匿名
2961,io9-kang2,iŏ-káng,io9-kang2,iő-káng,iő-káng,羊羹,匿名
2962,io2-bih,ió-bih,io2-bih,ió-bih,ió-bih,預備,匿名
2963,iu2-lih,iú-lih,iu2-lih,iú-lih,iú-lih,百合花,匿名
2964,ji-lu2-bah,ji-lú-bah,ji-lu2-bah,ji-lú-bah,ji-lú-bah,吉魯巴,匿名
2965,jiak-kuh,jiak-kuh,jiak-kuh,jiak-kuh,jiak-kuh,拉鍊,匿名
2966,jian3-ba3,jiàn-bà,jian3-ba3,jiàn-bà,jiàn-bà,夾克,匿名
2967,jio2-toh,jió-toh,jio2-toh,jió-toh,jió-toh,高級,匿名
2968,jio2-toh,jió-toh,jio2-toh,jió-toh,jió-toh,上等,匿名
2969,kha-bang2,kha-báng,kha-bang2,kha-báng,kha-báng,皮包,匿名
2970,kha-bang2,kha-báng,kha-bang2,kha-báng,kha-báng,文件箱,匿名
2971,kha-bang2,kha-báng,kha-bang2,kha-báng,kha-báng,手提包,匿名
2972,kha-la2-oo2-khe,kha-lá-ó͘-khe,kha-la2-oo2-khe,kha-lá-óo-khe,kha-lá-óo-khe,卡拉OK,匿名
2973,kha-me2-lah,kha-mé-lah,kha-me2-lah,kha-mé-lah,kha-mé-lah,照相機,匿名
2974,kha-me2-lah,kha-mé-lah,kha-me2-lah,kha-mé-lah,kha-mé-lah,開麥拉,匿名
2975,kha-ta2-lok-guh,kha-tá-lok-guh,kha-ta2-lok-guh,kha-tá-lok-guh,kha-tá-lok-guh,目錄,匿名
2976,kha-tian2,kha-tián,kha-tian2,kha-tián,kha-tián,窗簾,匿名
2977,kha3-sang3,khà-sàng,kha3-sang3,khà-sàng,khà-sàng,母親,匿名
2978,kha3-chiang3,khà-chiàng,kha3-tsiang3,khà-tsiàng,khà-tsiàng,母親,匿名
2979,khan9-jioo2,khăn-jionull,khan9-jioo2,kha̋n-jióo,kha̋n-jióo,付款,匿名
2980,khan9-jioo2,khăn-jionull,khan9-jioo2,kha̋n-jióo,kha̋n-jióo,算帳,匿名
2981,khan9-jioo2,khăn-jionull,khan9-jioo2,kha̋n-jióo,kha̋n-jióo,結帳,匿名
2982,khang9-pang2,khăng-páng,khang9-pang2,kha̋ng-páng,kha̋ng-páng,看板,匿名
2983,khang9-pang2,khăng-páng,khang9-pang2,kha̋ng-páng,kha̋ng-páng,招牌,匿名
2984,khe-chiap-puh,khe-chiap-puh,khe-tsiap-puh,khe-tsiap-puh,khe-tsiap-puh,蕃茄醬,匿名
2985,khi-moo2-chih,khi-mó͘-chih,khi-moo2-tsih,khi-móo-tsih,khi-móo-tsih,情緒,匿名
2986,khi-moo2-chih,khi-mó͘-chih,khi-moo2-tsih,khi-móo-tsih,khi-móo-tsih,奇檬子,匿名
2987,khi-moo2-chih,khi-mó͘-chih,khi-moo2-tsih,khi-móo-tsih,khi-móo-tsih,心情,匿名
2988,khi2-looh,khí-lo͘h,khi2-looh,khí-looh,khí-looh,公里,匿名
2989,khia7-hang2,khiā-háng,khia7-hang2,khiā-háng,khiā-háng,綁腿,匿名
2990,khit-teh,khit-teh,khit-teh,khit-teh,khit-teh,郵票,匿名
2991,khiu9-khe2,khiŭ-khé,khiu9-khe2,khiű-khé,khiű-khé,色情幽會,匿名
2992,khiu9-khe2,khiŭ-khé,khiu9-khe2,khiű-khé,khiű-khé,休憩,匿名
2993,khiu9-khe2,khiŭ-khé,khiu9-khe2,khiű-khé,khiű-khé,休息,匿名
2994,khok-puh,khok-puh,khok-puh,khok-puh,khok-puh,杯子,匿名
2995,khong7-ku-li2,khōng-ku-lí,khong7-ku-li2,khōng-ku-lí,khōng-ku-lí,混凝土,匿名
2996,khong7-ku-li2,khōng-ku-lí,khong7-ku-li2,khōng-ku-lí,khōng-ku-lí,控固力,匿名
2997,khong3-buh,khòng-buh,khong3-buh,khòng-buh,khòng-buh,海帶,匿名
2998,khong3-buh,khòng-buh,khong3-buh,khòng-buh,khòng-buh,昆布,匿名
2999,khoo-le2-lah,kho͘-lé-lah,khoo-le2-lah,khoo-lé-lah,khoo-lé-lah,霍亂,匿名
3000,khoo-mi2-siong2,kho͘-mí-sióng,khoo-mi2-siong2,khoo-mí-sióng,khoo-mí-sióng,賄賂,匿名
3001,khoo-mi2-siong2,kho͘-mí-sióng,khoo-mi2-siong2,khoo-mí-sióng,khoo-mí-sióng,回扣,匿名
3002,khoo3-too3,khò͘-tò͘,khoo3-too3,khòo-tòo,khòo-tòo,大衣,匿名
3003,khu-la2-chih,khu-lá-chih,khu-la2-tsih,khu-lá-tsih,khu-lá-tsih,變速器,匿名
3004,khu-la2-chih,khu-lá-chih,khu-la2-tsih,khu-lá-tsih,khu-lá-tsih,離合器,匿名
3005,khu-li3-mu3,khu-lì-mù,khu-li3-mu3,khu-lì-mù,khu-lì-mù,面霜,匿名
3006,khu-li3-mu3,khu-lì-mù,khu-li3-mu3,khu-lì-mù,khu-lì-mù,克林姆,匿名
3007,khu-li3-mu3,khu-lì-mù,khu-li3-mu3,khu-lì-mù,khu-lì-mù,奶油,匿名
3008,la-ji2-ooh,la-jí-o͘h,la-ji2-ooh,la-jí-ooh,la-jí-ooh,收音機,匿名
3009,la-kiat-tooh,la-kiat-to͘h,la-kiat-tooh,la-kiat-tooh,la-kiat-tooh,球拍,匿名
3010,la-mu2-neh,la-mú-neh,la-mu2-neh,la-mú-neh,la-mú-neh,彈珠汽水,匿名
3011,lai9-jioo3-bu3,lăi-jionull-bù,lai9-jioo3-bu3,la̋i-jiòo-bù,la̋i-jiòo-bù,沒問題,匿名
3012,lai9-jioo3-bu3,lăi-jionull-bù,lai9-jioo3-bu3,la̋i-jiòo-bù,la̋i-jiòo-bù,安全,匿名
3013,lai9-jioo3-bu3,lăi-jionull-bù,lai9-jioo3-bu3,la̋i-jiòo-bù,la̋i-jiòo-bù,放心,匿名
3014,lai9-lin2-gu3,lăi-lín-gù,lai9-lin2-gu3,la̋i-lín-gù,la̋i-lín-gù,無袖背心,匿名
3015,lai3-tah,lài-tah,lai3-tah,lài-tah,lài-tah,打火機,匿名
3016,le-bong2,le-bóng,le-bong2,le-bóng,le-bóng,檸檬,匿名
3017,le3-si3r,lè-si3r,le3-si3r,lè-sìr,lè-sìr,蕾絲花邊,匿名
3018,li-a2-khah,li-á-khah,li-a2-khah,li-á-khah,li-á-khah,臺車,匿名
3019,li-a2-khah,li-á-khah,li-a2-khah,li-á-khah,li-á-khah,拖車,匿名
3020,li-a2-khah,li-á-khah,li-a2-khah,li-á-khah,li-á-khah,台車,匿名
3021,lian9-tang2,liăn-táng,lian9-tang2,lia̋n-táng,lia̋n-táng,煤球,匿名
3022,lin9-jin2,lĭn-jín,lin9-jin2,li̋n-jín,li̋n-jín,紅蘿蔔,匿名
3023,lin3-goo3,lìn-gò͘,lin3-goo3,lìn-gòo,lìn-gòo,蘋果,匿名
3024,loo-lai2-ba3,lo͘-lái-bà,loo-lai2-ba3,loo-lái-bà,loo-lái-bà,螺絲起子,匿名
3025,loo3-suh,lò͘-suh,loo3-suh,lòo-suh,lòo-suh,里脊肉,匿名
3026,loo2-li2-a2,ló͘-lí-á,loo2-li2-a2,lóo-lí-á,lóo-lí-á,橡膠拖鞋,匿名
3027,ma-la2-li2-a2,ma-lá-lí-á,ma-la2-li2-a2,ma-lá-lí-á,ma-lá-lí-á,瘧疾,匿名
3028,ma-la2-song2,ma-lá-sóng,ma-la2-song2,ma-lá-sóng,ma-lá-sóng,馬拉松,匿名
3029,ma-sa3-chi3,ma-sà-chì,ma-sa3-tsi3,ma-sà-tsì,ma-sà-tsì,馬殺雞,匿名
3030,ma-sa3-chi3,ma-sà-chì,ma-sa3-tsi3,ma-sà-tsì,ma-sà-tsì,按摩,匿名
3031,ma-sa3-chi3,ma-sà-chì,ma-sa3-tsi3,ma-sà-tsì,ma-sà-tsì,色情按摩,匿名
3032,mai2-ku3,mái-kù,mai2-ku3,mái-kù,mái-kù,麥克風,匿名
3033,me-li2-a2,me-lí-á,me-li2-a2,me-lí-á,me-lí-á,三夾板,匿名
3034,me-long2,me-lóng,me-long2,me-lóng,me-lóng,香瓜,匿名
3035,me3-si3,mè-sì,me3-si3,mè-sì,mè-sì,名片,匿名
3036,mi-sin2,mi-sín,mi-sin2,mi-sín,mi-sín,裁縫車,匿名
3037,mi-sin2,mi-sín,mi-sin2,mi-sín,mi-sín,縫紉機,匿名
3038,mi2-sooh3,mí-sò͘h,mi2-sooh3,mí-sòoh,mí-sòoh,味噌,匿名
3039,moo3-ta3,mò͘-tà,moo3-ta3,mòo-tà,mòo-tà,馬達,匿名
3040,nai9-long2,năi-lóng,nai9-long2,na̋i-lóng,na̋i-lóng,耐龍,匿名
3041,nai9-long2,năi-lóng,nai9-long2,na̋i-lóng,na̋i-lóng,尼龍,匿名
3042,ne-kut-tai2,ne-kut-tái,ne-kut-tai2,ne-kut-tái,ne-kut-tái,領帶,匿名
3043,noo9-sin2,nŏ͘-sín,noo9-sin2,nőo-sín,nőo-sín,腦筋不正常,匿名
3044,noo2-lih,nó͘-lih,noo2-lih,nóo-lih,nóo-lih,海苔,匿名
3045,oo-ba2-san2,o͘-bá-sán,oo-ba2-san2,oo-bá-sán,oo-bá-sán,歐巴桑,匿名
3046,oo-ji2-sang2,o͘-jí-sáng,oo-ji2-sang2,oo-jí-sáng,oo-jí-sáng,歐吉桑,匿名
3047,oo-lian2,o͘-lián,oo-lian2,oo-lián,oo-lián,黑輪,匿名
3048,oo-lin2-gioo2,o͘-lín-gionull,oo-lin2-gioo2,oo-lín-gióo,oo-lín-gióo,人偶,匿名
3049,oo-lin2-gioo2,o͘-lín-gionull,oo-lin2-gioo2,oo-lín-gióo,oo-lín-gióo,洋娃娃,匿名
3050,oo-ne3-sang3,o͘-nè-sàng,oo-ne3-sang3,oo-nè-sàng,oo-nè-sàng,大姐,匿名
3051,oo-too2-bai2,o͘-tó͘-bái,oo-too2-bai2,oo-tóo-bái,oo-tóo-bái,機車,匿名
3052,oo-too2-bai2,o͘-tó͘-bái,oo-too2-bai2,oo-tóo-bái,oo-tóo-bái,摩托車,匿名
3053,oo3-ba3,ò͘-bà,oo3-ba3,òo-bà,òo-bà,大衣,匿名
3054,pha-chin3-koo3,pha-chìn-kò͘,pha-tsin3-koo3,pha-tsìn-kòo,pha-tsìn-kòo,柏青哥,匿名
3055,pha9-sian3-too3,phă-siàn-tò͘,pha9-sian3-too3,pha̋-siàn-tòo,pha̋-siàn-tòo,百分比,匿名
3056,pha9-sian3-too3,phă-siàn-tò͘,pha9-sian3-too3,pha̋-siàn-tòo,pha̋-siàn-tòo,百分率,匿名
3057,phang2,pháng,phang2,pháng,pháng,麵包,匿名
3058,phang3-ku3,phàng-kù,phang3-ku3,phàng-kù,phàng-kù,爆胎,匿名
3059,phi-a2-nooh,phi-á-no͘h,phi-a2-nooh,phi-á-nooh,phi-á-nooh,鋼琴,匿名
3060,phian3-chih,phiàn-chih,phian3-tsih,phiàn-tsih,phiàn-tsih,鐵鉗,匿名
3061,phin9-phong2,phĭn-phóng,phin9-phong2,phi̋n-phóng,phi̋n-phóng,桌球,匿名
3062,phin9-phong2,phĭn-phóng,phin9-phong2,phi̋n-phóng,phi̋n-phóng,乒乓球,匿名
3063,phong3-phu3,phòng-phù,phong3-phu3,phòng-phù,phòng-phù,手動抽水機,匿名
3064,phong3-phu3,phòng-phù,phong3-phu3,phòng-phù,phòng-phù,幫浦,匿名
3065,phu-loo2-phe2-la2,phu-ló͘-phé-lá,phu-loo2-phe2-la2,phu-lóo-phé-lá,phu-lóo-phé-lá,螺旋槳,匿名
3066,pu-lu3-su3,pu-lù-sù,pu-lu3-su3,pu-lù-sù,pu-lù-sù,布魯司,匿名
3067,sa-kha2-li2-bah,sa-khá-lí-bah,sa-kha2-li2-bah,sa-khá-lí-bah,sa-khá-lí-bah,沙卡哩巴,匿名
3068,sa-khu2-lah,sa-khú-lah,sa-khu2-lah,sa-khú-lah,sa-khú-lah,櫻花,匿名
3069,sa-si2-mih,sa-sí-mih,sa-si2-mih,sa-sí-mih,sa-sí-mih,生魚片,匿名
3070,sa9-bi3-su3,să-bì-sù,sa9-bi3-su3,sa̋-bì-sù,sa̋-bì-sù,優待,匿名
3071,sa9-bi3-su3,să-bì-sù,sa9-bi3-su3,sa̋-bì-sù,sa̋-bì-sù,優惠,匿名
3072,sai3-su3,sài-sù,sai3-su3,sài-sù,sài-sù,尺寸,匿名
3073,sak-khuh,sak-khuh,sak-khuh,sak-khuh,sak-khuh,保險套,匿名
3074,sam9-phu2-luh,săm-phú-luh,sam9-phu2-luh,sa̋m-phú-luh,sa̋m-phú-luh,樣品,匿名
3075,sam9-phu2-luh,săm-phú-luh,sam9-phu2-luh,sa̋m-phú-luh,sa̋m-phú-luh,樣本,匿名
3076,san3-bah,sàn-bah,san3-bah,sàn-bah,sàn-bah,秋刀魚,匿名
3077,se-bi2-looh,se-bí-lo͘h,se-bi2-looh,se-bí-looh,se-bí-looh,西裝,匿名
3078,se3-hu3,sè-hù,se3-hu3,sè-hù,sè-hù,安全,匿名
3079,si-a2-geh,si-á-geh,si-a2-geh,si-á-geh,si-á-geh,修飾,匿名
3080,si-a2-geh,si-á-geh,si-a2-geh,si-á-geh,si-á-geh,潤飾,匿名
3081,sia-sin2,sia-sín,sia-sin2,sia-sín,sia-sín,照片,匿名
3082,siat-tooh,siat-to͘h,siat-tooh,siat-tooh,siat-tooh,造型,匿名
3083,siat-tooh,siat-to͘h,siat-tooh,siat-tooh,siat-tooh,做頭髮,匿名
3084,siat-chuh,siat-chuh,siat-tsuh,siat-tsuh,siat-tsuh,襯衫,匿名
3085,siok8-phang2,sio̍k-pháng,siok8-phang2,sio̍k-pháng,sio̍k-pháng,吐司,匿名
3086,siok8-phang2,sio̍k-pháng,siok8-phang2,sio̍k-pháng,sio̍k-pháng,白麵包,匿名
3087,sip8-pan2-an2,si̍p-pán-án,sip8-pan2-an2,si̍p-pán-án,si̍p-pán-án,板手,匿名
3088,sir-be2-li2-lai2,sir-bé-lí-lái,sir-be2-li2-lai2,sir-bé-lí-lái,sir-bé-lí-lái,溜滑梯,匿名
3089,sir-tian2-le3-su3,sir-tián-lè-sù,sir-tian2-le3-su3,sir-tián-lè-sù,sir-tián-lè-sù,不鏽鋼,匿名
3090,soo3-su3,sò͘-sù,soo3-su3,sòo-sù,sòo-sù,醬料,匿名
3091,soo3-su3,sò͘-sù,soo3-su3,sòo-sù,sòo-sù,烏醋,匿名
3092,su-khu3-ta3,su-khù-tà,su-khu3-ta3,su-khù-tà,su-khù-tà,速可達,匿名
3093,su-khu3-ta3,su-khù-tà,su-khu3-ta3,su-khù-tà,su-khù-tà,塑膠車,匿名
3094,su-khu3-ta3,su-khù-tà,su-khu3-ta3,su-khù-tà,su-khù-tà,小綿羊,匿名
3095,su-lit-pah,su-lit-pah,su-lit-pah,su-lit-pah,su-lit-pah,拖鞋,匿名
3096,su-to2-lip-puh,su-tó-lip-puh,su-to2-lip-puh,su-tó-lip-puh,su-tó-lip-puh,脫衣舞,匿名
3097,su2-sih,sú-sih,su2-sih,sú-sih,sú-sih,壽司,匿名
3098,tha-khu2-ang2,tha-khú-áng,tha-khu2-ang2,tha-khú-áng,tha-khú-áng,黃蘿蔔,匿名
3099,tha-khu2-sih,tha-khú-sih,tha-khu2-sih,tha-khú-sih,tha-khú-sih,計程車,匿名
3100,tha-tha2-mih,tha-thá-mih,tha-tha2-mih,tha-thá-mih,tha-thá-mih,疊蓆,匿名
3101,tha-tha2-mih,tha-thá-mih,tha-tha2-mih,tha-thá-mih,tha-thá-mih,塌塌米,匿名
3102,thai3-ia3,thài-ià,thai3-ia3,thài-ià,thài-ià,輪胎,匿名
3103,thai3-lu3,thài-lù,thai3-lu3,thài-lù,thài-lù,瓷磚,匿名
3104,thak-khooh,thak-kho͘h,thak-khooh,thak-khooh,thak-khooh,墨魚,匿名
3105,than3-goo3,thàn-gò͘,than3-goo3,thàn-gòo,thàn-gòo,探戈,匿名
3106,thang3-su3,thàng-sù,thang3-su3,thàng-sù,thàng-sù,衣櫥,匿名
3107,the-ni2-suh,the-ní-suh,the-ni2-suh,the-ní-suh,the-ní-suh,網球,匿名
3108,thian9-pu2-lah,thiăn-pú-lah,thian9-pu2-lah,thia̋n-pú-lah,thia̋n-pú-lah,甜不辣,匿名
3109,thoo-la2-khuh,tho͘-lá-khuh,thoo-la2-khuh,thoo-lá-khuh,thoo-lá-khuh,卡車,匿名
3110,thoo-ma2-tooh,tho͘-má-to͘h,thoo-ma2-tooh,thoo-má-tooh,thoo-má-tooh,西紅柿,匿名
3111,thoo-ma2-tooh,tho͘-má-to͘h,thoo-ma2-tooh,thoo-má-tooh,thoo-má-tooh,番茄,匿名
3112,too2-sang3,tó͘-sàng,too2-sang3,tóo-sàng,tóo-sàng,多桑,匿名
3113,too2-sang3,tó͘-sàng,too2-sang3,tóo-sàng,tóo-sàng,父親,匿名
3114,chiok-kih,chiok-kih,tsiok-kih,tsiok-kih,tsiok-kih,剪刀,匿名
3115,chioo-koo2-le3-too3,chio͘-kó͘-lè-tò͘,tsioo-koo2-le3-too3,tsioo-kóo-lè-tòo,tsioo-kóo-lè-tòo,巧克力,匿名
3116,chit-puh,chit-puh,tsit-puh,tsit-puh,tsit-puh,小費,匿名
3117,u-long2,u-lóng,u-long2,u-lóng,u-lóng,烏龍麵,匿名
3118,oa-lu2-chuh,oa-lú-chuh,ua-lu2-tsuh,ua-lú-tsuh,ua-lú-tsuh,華爾茲,匿名
3119,oa-sa2-bih,oa-sá-bih,ua-sa2-bih,ua-sá-bih,ua-sá-bih,芥末,匿名
3120,oa-sa2-bih,oa-sá-bih,ua-sa2-bih,ua-sá-bih,ua-sá-bih,山葵醬,匿名
3121,oai9-siat-chuh,oăi-siat-chuh,uai9-siat-tsuh,ua̋i-siat-tsuh,ua̋i-siat-tsuh,白襯衫,匿名
3122,un3-chiang3,ùn-chiàng,un3-tsiang3,ùn-tsiàng,ùn-tsiàng,運將,匿名
3123,un3-chiang3,ùn-chiàng,un3-tsiang3,ùn-tsiàng,ùn-tsiàng,司機,匿名
3124,chhau3-hoe2-ta,chhàu-hóe-ta,tshau3-hue2-ta,tshàu-hué-ta,臭火焦,臭灰搭,Ôo Siok-tsing
3125,bo5-lang5-ti7,bô-lâng-tī,bo5-lang5-ti7,bô-lâng-tī,無人佇,莫蘭蒂,Ôo Siok-tsing
3126,hoe-thiau5,hoe-thiâu,hue-thiau5,hue-thiâu,花鮡,彈塗魚,Ôo Siok-tsing
3127,kiam5-thoo5-tau7,kiâm-thô͘-tāu,kiam5-thoo5-tau7,kiâm-thôo-tāu,鹹塗豆,鹹花生,Ôo Siok-tsing
3128,beh hang siann2-mih8,beh hang siáⁿ-mi̍h,beh hang siann2-mih8,beh hang siánn-mi̍h,欲烘啥物,要烤什麼,Ôo Siok-tsing
3129,nng2-pian7,nńg-piān,nng2-pian7,nńg-piān,軟便,軟瀉劑,Ôo Siok-tsing
3130,phah-chhiu2-chheng3,phah-chhiú-chhèng,phah-tshiu2-tshing3,phah-tshiú-tshìng,拍手銃,打手槍,匿名
3131,ka-chhiam,ka-chhiam,ka-tshiam,ka-tshiam,加簽,加簽,匿名
3132,tian7-chu2-khim5,tiān-chú-khîm,tian7-tsu2-khim5,tiān-tsú-khîm,電子琴,電子琴,匿名
3140,khoan,khoan,khuan,khuan,髖,髖,匿名
3144,hann--nih,haⁿ--nih,hann--nih,hann--nih,嚇呢,小甜心,匿名
