id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,hanlo_taibun_kiplmj,hoabun,from
586,phe-ne-se-lîn,phe-ne-se-lin5,phe-ne-se-lîn,phe-ne-se-lin5,批呢西仁,盤尼西林,匿名
587,bih-miâ,bih-mia5,bih-miâ,bih-mia5,覕名,匿名,匿名
588,chhàng-miâ,chhang3-mia5,tshàng-miâ,tshang3-mia5,藏名,匿名,匿名
589,chu-tai,chu-tai,tsu-tai,tsu-tai,書呆,書呆子,Ông Tsì-liông
590,n̂g-la̍h-á,ng5-lah8-a2,n̂g-la̍h-á,ng5-lah8-a2,黃蠟仔,黃膽,柯仲恩
591,n̂g-thán,ng5-than2,n̂g-thán,ng5-than2,黃疸,黃膽,柯仲恩
592,pháiⁿ-chhoán-khùi,phainn2-chhoan2-khui3,pháinn-tshuán-khuì,phainn2-tshuan2-khui3,歹喘氣,呼吸困難,柯仲恩
593,chheh-ku-á,chheh-ku-a2,tsheh-ku-á,tsheh-ku-a2,冊龜仔,書呆子,匿名
595,hàn-pó,han3-po2,hàn-pó,han3-po2,漢堡,漢堡,Justin Richard Leung
596,hām-bah-kap,ham7-bah-kap,hām-bah-kap,ham7-bah-kap,和肉敆,漢堡,Justin Richard Leung
597,sîn-keng-kho,sin5-keng-kho,sîn-king-kho,sin5-king-kho,神經科,神經科,Justin Richard Leung
598,Sé-bīn--ê,Se2-bin7--e5,Sé-bīn--ê,Se2-bin7--e5,洗面的,7-11,匿名
599,thoân--khí-lih,thoan5--khi2-lih,thuân--khí-lih,thuan5--khi2-lih,傳起去,上傳,匿名
600,li chiòk thó-ià,li chiok3 tho2-ia3,li tsiòk thó-ià,li tsiok3 tho2-ia3,你足討厭,你好討厭,匿名
601,hûn-téng,hun5-teng2,hûn-tíng,hun5-ting2,雲頂,雲端,Liz Lin
602,hûn-toan,hun5-toan,hûn-tuan,hun5-tuan,雲端,雲端,Liz Lin
603,chhōa-lō͘-ki,chhoa7-loo7-ki,tshuā-lōo-ki,tshua7-loo7-ki,𤆬路機,導航,Liz Lin
604,pih-kang,pih-kang,pih-kang,pih-kang,鱉公,宅男,Liz Lin
605,pih-bú,pih-bu2,pih-bú,pih-bu2,鱉母,宅女,Liz Lin
606,hō͘ lâng khí ke-bó-phôe,hoo7 lang5 khi2 ke-bo2-phoe5,hōo lâng khí ke-bó-phuê,hoo7 lang5 khi2 ke-bo2-phue5,予人起雞母皮,肉麻,Seng-hian Lau
607,sé-chhiú-tâi-á,se2-chhiu2-tai5-a2,sé-tshiú-tâi-á,se2-tshiu2-tai5-a2,洗手台仔,洗手台,Seng-hian Lau
608,khí-bah-pho,khi2-bah-pho,khí-bah-pho,khi2-bah-pho,起肉波,肉麻,Lîm Tshong-bîng
609,Choân-liân,Choan5-lian5,Tsuân-liân,Tsuan5-lian5,全聯,全聯,匿名
610,hì-phā,hi3-pha7,hì-phā,hi3-pha7,肺疱,肺泡,匿名
611,o͘-niau,oo-niau,oo-niau,oo-niau,烏貓,辣媽,TWkid Lai
612,o͘-niau-á-bú,oo-niau-a2-bu2,oo-niau-á-bú,oo-niau-a2-bu2,烏貓仔母,辣媽,Lîm Tshong-bîng
613,So͘-keh-lân,Soo-keh-lan5,Soo-keh-lân,Soo-keh-lan5,蘇格蘭,蘇格蘭,Justin Richard Leung
614,nâ-aû-kńg,na5-au5-kng2,nâ-âu-kńg,na5-au5-kng2,嚨喉管,食道,Justin Richard Leung
615,bah-phìⁿ,bah-phinn3,bah-phìnn,bah-phinn3,肉片,A片,匿名
616,khan soh thiàu khàm,khan soh thiau3 kham3,khan soh thiàu khàm,khan soh thiau3 kham3,牽索跳崁,高空彈跳,匿名
618,it-khá-thong,it-kha2-thong,it-khá-thong,it-kha2-thong,一卡通,一卡通,莊銘彥
619,chhek-chhì,chhek-chhi3,tshik-tshì,tshik-tshi3,測試,測試,莊銘彥
620,Sé-bún-i̍t-lé-bùn,Se2-bun2-it8-le2-bun3,Sé-bún-i̍t-lé-bùn,Se2-bun2-it8-le2-bun3,Sé-bún-i̍t-lé-bùn,7-11,莊銘彥
621,tōa-náu,toa7-nau2,tuā-náu,tua7-nau2,大腦,大腦,陳冠綸
622,mî-á-ki,mi5-a2-ki,mî-á-ki,mi5-a2-ki,棉仔枝,棉花棒,柯仲恩
623,kiù khó͘ kiù lān,kiu3 khoo2 kiu3 lan7,kiù khóo kiù lān,kiu3 khoo2 kiu3 lan7,救苦救難,救苦救難,匿名
624,tāi-chû-tāi-pi,tai7-chu5-tai7-pi,tāi-tsû-tāi-pi,tai7-tsu5-tai7-pi,大慈大悲,大慈大悲,匿名
625,hōe-sit-lé,hoe7-sit-le2,huē-sit-lé,hue7-sit-le2,會失禮,道歉,匿名
626,tê-ki-á,te5-ki-a2,tê-ki-á,te5-ki-a2,茶機仔,飲水機,Seng-hian Lau
627,lō͘-lê,loo7-le5,lōo-lê,loo7-le5,露螺,勞力士,Justin Richard Leung
628,Lô-le̍k-sū,Lo5-lek8-su7,Lô-li̍k-sū,Lo5-lik8-su7,勞力士,勞力士,Justin Richard Leung
629,mn̂g-kńg-khang lóng khiā--khí-lâi,mng5-kng2-khang long2 khia7--khi2-lai5,mn̂g-kńg-khang lóng khiā--khí-lâi,mng5-kng2-khang long2 khia7--khi2-lai5,毛管空攏徛起來,肉麻,匿名
630,chio̍h-un-loán,chioh8-un-loan2,tsio̍h-un-luán,tsioh8-un-luan2,石溫暖,岩盤浴,匿名
631,sóng-cháu,song2-chau2,sóng-tsáu,song2-tsau2,爽走,舒跑,匿名
632,ta-piān-só͘,ta-pian7-soo2,ta-piān-sóo,ta-pian7-soo2,焦便所,乾式廁所,匿名
633,hún-bī iú--ê,hun2-bi7 iu2--e5,hún-bī iú--ê,hun2-bi7 iu2--e5,粉味友的,紅粉知己,匿名
634,peng-goân,peng-goan5,ping-guân,ping-guan5,冰原,冰原,匿名
635,O͘-niau bú-lú,Oo-niau bu2-lu2,Oo-niau bú-lú,Oo-niau bu2-lu2,烏貓母女,辣媽辣妹,匿名
636,o͘-phìⁿ,oo-phinn3,oo-phìnn,oo-phinn3,烏片,A片,匿名
637,hiau,hiau,hiau,hiau,囂,煽情,匿名
638,chu,chu,tsu,tsu,珠,牛痘,邱文錫
639,si̍p-kok-bí,sip8-kok-bi2,si̍p-kok-bí,sip8-kok-bi2,十穀米,十穀米,匿名
640,sè-chhut-á,se3-chhut-a2,sè-tshut-á,se3-tshut-a2,細齣仔,A片,Tiunn Hông-bîng
641,Sè-kí tè-kok,Se3-ki2 te3-kok,Sè-kí tè-kok,Se3-ki2 te3-kok,世紀帝國,世紀帝國,匿名
642,khiáu-chhiú-ki-á,khiau2-chhiu2-ki-a2,khiáu-tshiú-ki-á,khiau2-tshiu2-ki-a2,巧手機仔,智慧型手機,匿名
643,lō͘-tâi,loo7-tai5,lōo-tâi,loo7-tai5,露台,陽台,Chinju Iunn
644,thâu-hîn,thau5-hin5,thâu-hîn,thau5-hin5,頭眩,頭昏,吳振嘉
645,tōa-thâu-bú,toa7-thau5-bu2,tuā-thâu-bú,tua7-thau5-bu2,大頭拇,拇指,吳振嘉
646,aû,au5,âu,au5,喉,喉,吳振嘉
647,hô-ní-bông,ho5-ni2-bong5,hô-ní-bông,ho5-ni2-bong5,荷爾蒙,荷爾蒙,Justin Richard Leung
649,Kiâⁿ-lō͘-chháu,Kiann5-loo7-chhau2,Kiânn-lōo-tsháu,Kiann5-loo7-tshau2,行路草,走路草,Liz Lin
650,Chhàu-chhàu-hoe,Chhau3-chhau3-hoe,Tshàu-tshàu-hue,Tshau3-tshau3-hue,臭臭花,臭臭花,Liz Lin
651,Pà-ông-hoe,Pa3-ong5-hoe,Pà-ông-hue,Pa3-ong5-hue,霸王花,霸王花,Liz Lin
652,Niau-láu-tōa,Niau-lau2-toa7,Niau-láu-tuā,Niau-lau2-tua7,貓老大,貓老大,Liz Lin
653,Kâu-koài,Kau5-koai3,Kâu-kuài,Kau5-kuai3,猴怪,猴怪,Liz Lin
654,Báng-á-hiuⁿ-tō͘-koái-á,Bang2-a2-hiunn-too7-koai2-a2,Báng-á-hiunn-tōo-kuái-á,Bang2-a2-hiunn-too7-kuai2-a2,蠓仔香肚胿仔,蚊香蝌蚪,Liz Lin
655,Báng-á-hiuⁿ-kun,Bang2-a2-hiunn-kun,Báng-á-hiunn-kun,Bang2-a2-hiunn-kun,蠓仔香君,蚊香君,Liz Lin
656,To̍k-chhì-thē,Tok8-chhi3-the7,To̍k-tshì-thē,Tok8-tshi3-the7,毒刺䖳,毒刺水母,Liz Lin
657,phō-khí-mo͘,pho7-khi2-moo,phō-khí-moo,pho7-khi2-moo,抱起毛,寶可夢,Ôo Siok-tsing
658,lián-kiû,lian2-kiu5,lián-kiû,lian2-kiu5,碾球,飛碟球,Ôo Siok-tsing
659,thau-ni-thau-liàm,thau-ni-thau-liam3,thau-ni-thau-liàm,thau-ni-thau-liam3,偷拈偷捻,手腳不乾淨,Ôo Siok-tsing
660,tiān-hang-siuⁿ,tian7-hang-siunn,tiān-hang-siunn,tian7-hang-siunn,電烘箱,烤箱,Ôo Siok-tsing
661,thâi-ti--ê,thai5-ti--e5,thâi-ti--ê,thai5-ti--e5,刣豬的,屠夫,Ôo Siok-tsing
662,to̍k-kak-sian,tok8-kak-sian,to̍k-kak-sian,tok8-kak-sian,獨角仙,獨角仙,Justin Richard Leung
663,to̍k-kak-ku-á,tok8-kak-ku-a2,to̍k-kak-ku-á,tok8-kak-ku-a2,獨角龜仔,獨角仙,Justin Richard Leung
664,thih-gû-á,thih-gu5-a2,thih-gû-á,thih-gu5-a2,鐵牛仔,獨角仙,Justin Richard Leung
665,tau-thâng,tau-thang5,tau-thâng,tau-thang5,兜蟲,獨角仙,Justin Richard Leung
666,sún-ku,sun2-ku,sún-ku,sun2-ku,筍龜,獨角仙,Justin Richard Leung
667,sai-kak-kim-ku,sai-kak-kim-ku,sai-kak-kim-ku,sai-kak-kim-ku,犀角金龜,獨角仙,Justin Richard Leung
668,giâ-thih-lián,gia5-thih-lian2,giâ-thih-lián,gia5-thih-lian2,夯鐵輪,啞鈴,Ôo Siok-tsing
669,lo̍k-kak-ku,lok8-kak-ku,lo̍k-kak-ku,lok8-kak-ku,鹿角龜,獨角仙,Justin Richard Leung
670,chhiū-ku,chhiu7-ku,tshiū-ku,tshiu7-ku,樹龜,獨角仙,Justin Richard Leung
671,chhâ-ku,chha5-ku,tshâ-ku,tsha5-ku,柴龜,獨角仙,Justin Richard Leung
672,ta-sàu,ta-sau3,ta-sàu,ta-sau3,焦嗽,乾咳,Ôo Siok-tsing
673,sái-poe-khí,sai2-poe-khi2,sái-pue-khí,sai2-pue-khi2,屎桮齒,門齒,Ôo Siok-tsing
674,hām-bîn,ham7-bin5,hām-bîn,ham7-bin5,陷眠,白日夢,Ôo Siok-tsing
675,giô--ê,gio5--e5,giô--ê,gio5--e5,蟯的,閨蜜,Ôo Siok-tsing
676,liông-kut,liong5-kut,liông-kut,liong5-kut,龍骨,脊椎,Ôo Siok-tsing
677,chèng-chu,cheng3-chu,tsìng-tsu,tsing3-tsu,種珠,接種疫苗,Ôo Siok-tsing
678,io-chiah-kut,io-chiah-kut,io-tsiah-kut,io-tsiah-kut,腰脊骨,腰椎,Ôo Siok-tsing
679,hō-luh-bóng,ho7-luh-bong2,hō-luh-bóng,ho7-luh-bong2,hō-luh-bóng,荷爾蒙,匿名
681,liú-lia̍h,liu2-liah8,liú-lia̍h,liu2-liah8,扭掠,順手,匿名
682,lio̍h-á ū,lioh8-a2 u7,lio̍h-á ū,lioh8-a2 u7,略仔有,隱隱約約,匿名
683,hô-bé,ho5-be2,hô-bé,ho5-be2,河馬,河馬,匿名
684,leng-sûn,leng-sun5,ling-sûn,ling-sun5,奶巡,乳溝,Lîm Tshong-bîng
685,sûi-ē-thong,sui5-e7-thong,suî-ē-thong,sui5-e7-thong,隨會通,即時通,匿名
686,tōa-kho͘-teng,toa7-khoo-teng,tuā-khoo-ting,tua7-khoo-ting,大箍丁,胖丁,匿名
687,tōa-kho͘-kho͘-teng,toa7-khoo-khoo-teng,tuā-khoo-khoo-ting,tua7-khoo-khoo-ting,大箍箍丁,胖可丁,匿名
688,Nǹg-soaⁿ-chhí,Nng3-soann-chhi2,Nǹg-suann-tshí,Nng3-suann-tshi2,軁山鼠,穿山鼠,匿名
689,ka-kī lâi,ka-ki7 lai5,ka-kī lâi,ka-ki7 lai5,家己來,自己來,匿名
690,sió kī-tàn,sio2 ki7-tan3,sió kī-tàn,sio2 ki7-tan3,小巨蛋,小巨蛋,匿名
691,Be̍h-tong-lô,Beh8-tong-lo5,Be̍h-tong-lô,Beh8-tong-lo5,麥當勞,麥當勞,匿名
692,khoán-sè chong-chhin-hōe,khoan2-se3 chong-chhin-hoe7,khuán-sè tsong-tshin-huē,khuan2-se3 tsong-tshin-hue7,勸世宗親會,勸世宗親會,匿名
693,chhùi-tûn-ko,chhui3-tun5-ko,tshuì-tûn-ko,tshui3-tun5-ko,喙脣膏,唇膏,匿名
694,ki-á-thn̂g,ki-a2-thng5,ki-á-thn̂g,ki-a2-thng5,枝仔糖,棒棒糖,匿名
695,chéng-kah-chhái,cheng2-kah-chhai2,tsíng-kah-tshái,tsing2-kah-tshai2,指甲彩,指甲油,匿名
696,lí aì--góa,li2 ai3--goa2,lí ài--guá,li2 ai3--gua2,你愛我,你愛我,匿名
697,tèng-chóa-ki,teng3-choa2-ki,tìng-tsuá-ki,ting3-tsua2-ki,釘紙機,釘書機,匿名
698,Kńg-tang,Kng2-tang,Kńg-tang,Kng2-tang,廣東,廣東,匿名
699,tiān-hang-lô͘,tian7-hang-loo5,tiān-hang-lôo,tian7-hang-loo5,電烘爐,烤箱,匿名
700,sū-gia̍p-sòaⁿ,su7-giap8-soann3,sū-gia̍p-suànn,su7-giap8-suann3,事業線,事業線,匿名
701,Lûi-tiān-kiû,Lui5-tian7-kiu5,Luî-tiān-kiû,Lui5-tian7-kiu5,雷電球,雷電球,匿名
702,gá-suh-tôaⁿ,ga2-suh-toann5,gá-suh-tuânn,ga2-suh-tuann5,瓦斯彈,瓦斯彈,匿名
703,chhiám-hang-bah,chhiam2-hang-bah,tshiám-hang-bah,tshiam2-hang-bah,攕烘肉,叉燒,匿名
704,iap-iap-thiap-thiap,iap-iap-thiap-thiap,iap-iap-thiap-thiap,iap-iap-thiap-thiap,揜揜貼貼,隱隱約約,邱文錫
705,hùn-liān su,hun3-lian7 su,hùn-liān su,hun3-lian7 su,hùn-liān su,訓練師,匿名
706,thàu-chéng-á,thau3-cheng2-a2,thàu-tsíng-á,thau3-tsing2-a2,透種仔,混血兒,莊文龍
707,pó-khòng-la̍t-chúi-tek,po2-khong3-lat8-chui2-tek,pó-khòng-la̍t-tsuí-tik,po2-khong3-lat8-tsui2-tik,寶礦力水得,寶礦力水得,匿名
708,iâu-khòng,iau5-khong3,iâu-khòng,iau5-khong3,遙控,遙控器,匿名
709,khok,khok,khok,khok,扣,複製,薛丞宏
710,goe̍h-keng,goeh8-keng,gue̍h-king,gueh8-king,月經,大姨媽,匿名
711,goe̍h-sìn,goeh8-sin3,gue̍h-sìn,gueh8-sin3,月信,大姨媽,匿名
712,goe̍h-sū,goeh8-su7,gue̍h-sū,gueh8-su7,月事,大姨媽,匿名
713,thian-kùi-súi,thian-kui3-sui2,thian-kuì-suí,thian-kui3-sui2,天癸水,大姨媽,匿名
714,Phài-tōa-chheⁿ,Phai3-toa7-chhenn,Phài-tuā-tshenn,Phai3-tua7-tshenn,派大星,派大星,匿名
715,bi̍t-pô,bit8-po5,bi̍t-pô,bit8-po5,密婆,超音蝠,匿名
716,khí-mo͘-jī,khi2-moo-ji7,khí-moo-jī,khi2-moo-ji7,起毛字,emoji,匿名
717,lak-tē-á-iau-koài,lak-te7-a2-iau-koai3,lak-tē-á-iau-kuài,lak-te7-a2-iau-kuai3,橐袋仔妖怪,口袋妖怪,匿名
718,khêng-chîⁿ,kheng5-chinn5,khîng-tsînn,khing5-tsinn5,窮錢,籌錢,匿名
719,lu chhiú-ki-á,lu chhiu2-ki-a2,lu tshiú-ki-á,lu tshiu2-ki-a2,攄手機仔,滑手機,匿名
720,bí-kok koah-pau-tiàm,bi2-kok koah-pau-tiam3,bí-kok kuah-pau-tiàm,bi2-kok kuah-pau-tiam3,美國割包店,麥當勞,匿名
721,Bē-tàng-lāu,Be7-tang3-lau7,Bē-tàng-lāu,Be7-tang3-lau7,袂當老,麥當勞,Liāu Siok-hōng
722,chông-chîⁿ,chong5-chinn5,tsông-tsînn,tsong5-tsinn5,傱錢,籌錢,Liāu Siok-hōng
723,phian-khe-khih,phian-khe-khih,phian-khe-khih,phian-khe-khih,偏溪缺,鬆餅,Lûi Bêng-Hàn
724,Phái-sòng,Phai2-song3,Phái-sòng,Phai2-song3,Phái-sòng,Python,潘科元
725,Phah-sóng,Phah-song2,Phah-sóng,Phah-song2,拍爽,Python,潘科元
726,kha-chhng-tiàm,kha-chhng-tiam3,kha-tshng-tiàm,kha-tshng-tiam3,尻川店,麥當勞,匿名
727,phu̍h-teng,phuh8-teng,phu̍h-ting,phuh8-ting,浡丁,布丁,匿名
731,chhiah-hoeh-kiû,chhiah-hoeh-kiu5,tshiah-hueh-kiû,tshiah-hueh-kiu5,赤血球,紅血球,柯仲恩
732,pó-hiám-thò,po2-hiam2-tho3,pó-hiám-thò,po2-hiam2-tho3,保險套,保險套,匿名
733,póe chhiú-ki-á,poe2 chhiu2-ki-a2,pué tshiú-ki-á,pue2 tshiu2-ki-a2,掰手機仔,滑手機,匿名
734,e-mó͘-jih,e-moo2-jih,e-móo-jih,e-moo2-jih,e-móo-jih,emoji,匿名
735,e-mó͘-jih,e-moo2-jih,e-móo-jih,e-moo2-jih,e-móo-jih,繪文字,匿名
736,hōe-bûn-jī,hoe7-bun5-ji7,huē-bûn-jī,hue7-bun5-ji7,繪文字,emoji,匿名
737,hōe-bûn-jī,hoe7-bun5-ji7,huē-bûn-jī,hue7-bun5-ji7,繪文字,繪文字,匿名
738,lu ki-á,lu ki-a2,lu ki-á,lu ki-a2,攄機仔,滑手機,Tan-nî Danny Chiou
739,án-ne,an2-ne,án-ne,an2-ne,按呢,這樣子,Tan-nî Danny Chiou
740,sî-kè-kó,si5-ke3-ko2,sî-kè-kó,si5-ke3-ko2,時計果,百香果,Tan-nî Danny Chiou
741,tiuh-tiuh,tiuh-tiuh,tiuh-tiuh,tiuh-tiuh,搐搐,跳痛,Tan-nî Danny Chiou
742,Tāi-á-ông,Tai7-a2-ong5,Tāi-á-ông,Tai7-a2-ong5,𩸙仔王,鯉魚王,匿名
743,chio͘-kó͘-lè-tò͘,chioo-koo2-le3-too3,tsioo-kóo-lè-tòo,tsioo-koo2-le3-too3,tsioo-kóo-lè-tòo,巧克力,匿名
744,chi-ku-la̍t,chi-ku-lat8,tsi-ku-la̍t,tsi-ku-lat8,芝車力,巧克力,匿名
745,pháng,phang2,pháng,phang2,麭,麵包,匿名
746,Ha̍k-seng kè-sǹg-ki nî-hōe,Hak8-seng ke3-sng3-ki ni5-hoe7,Ha̍k-sing kè-sǹg-ki nî-huē,Hak8-sing ke3-sng3-ki ni5-hue7,學生計算機年會,學生計算機年會,匿名
747,kim-soan,kim-soan,kim-suan,kim-suan,金萱,金萱,匿名
748,ké--ê,ke2--e5,ké--ê,ke2--e5,假的,假的,匿名
749,sio̍k-pháng,siok8-phang2,sio̍k-pháng,siok8-phang2,俗麭,吐司,匿名
750,to-sū,to-su7,to-sū,to-su7,多士,吐司,匿名
751,Só-ut,So2-ut,Só-ut,So2-ut,Só-ut,首爾,匿名
752,Siú-ní,Siu2-ni2,Siú-ní,Siu2-ni2,首爾,首爾,匿名
753,khiáu-khek-le̍k,khiau2-khek-lek8,khiáu-khik-li̍k,khiau2-khik-lik8,巧克力,巧克力,匿名
754,chu-kó͘-la̍t,chu-koo2-lat8,tsu-kóo-la̍t,tsu-koo2-lat8,朱古力,巧克力,匿名
755,jû-ka,ju5-ka,jû-ka,ju5-ka,瑜伽,yoga,匿名
756,jû-ka,ju5-ka,jû-ka,ju5-ka,瑜伽,瑜伽,匿名
757,ió͘-kah,ioo2-kah,ióo-kah,ioo2-kah,ióo-kah,瑜伽,匿名
758,ió͘-kah,ioo2-kah,ióo-kah,ioo2-kah,ióo-kah,yoga,匿名
759,soan-bîn,soan-bin5,suan-bîn,suan-bin5,酸民,酸民,匿名
760,ne-kut-tái,ne-kut-tai2,ne-kut-tái,ne-kut-tai2,ne-kut-tái,領帶,匿名
761,sà-suh,sa3-suh,sà-suh,sa3-suh,sà-suh,沙士,匿名
762,hīⁿ-phīⁿ-aû-kho,hinn7-phinn7-au5-kho,hīnn-phīnn-âu-kho,hinn7-phinn7-au5-kho,耳鼻喉科,耳鼻喉科,柯仲恩
763,aì-khùn,ai3-khun3,ài-khùn,ai3-khun3,愛睏,嗜睡,柯仲恩
764,lāu-ô͘,lau7-oo5,lāu-ôo,lau7-oo5,漏壺,沙漏,柯仲恩
765,leng-chôaⁿ,leng-choann5,ling-tsuânn,ling-tsuann5,奶泉,乳腺,柯仲恩
766,phīⁿ-keh-keng,phinn7-keh-keng,phīnn-keh-king,phinn7-keh-king,鼻隔間,鼻中膈,柯仲恩
767,sim-kéⁿ-that,sim-kenn2-that,sim-kénn-that,sim-kenn2-that,心梗窒,心肌梗塞,柯仲恩
768,píⁿ-thô-chôaⁿ,pinn2-tho5-choann5,pínn-thô-tsuânn,pinn2-tho5-tsuann5,扁桃泉,扁桃腺,柯仲恩
769,chhò-siong,chho3-siong,tshò-siong,tsho3-siong,挫傷,挫傷,柯仲恩
770,koaⁿ-iām-B,koann-iam7-B,kuann-iām-B,kuann-iam7-B,肝炎B,B型肝炎,柯仲恩
771,thô͘-hún-sat,thoo5-hun2-sat,thôo-hún-sat,thoo5-hun2-sat,塗粉蝨,塵蟎,柯仲恩
772,khiáu-ki-á,khiau2-ki-a2,khiáu-ki-á,khiau2-ki-a2,巧機仔,智慧型手機,匿名
773,iu-iu-á-thiàⁿ,iu-iu-a2-thiann3,iu-iu-á-thiànn,iu-iu-a2-thiann3,幽幽仔疼,鈍痛,匿名
774,Só͘-í góa kóng hit-ê ùn-liāu leh?,Soo2-i2 goa2 kong2 hit-e5 un3-liau7 leh?,Sóo-í guá kóng hit-ê ùn-liāu leh?,Soo2-i2 gua2 kong2 hit-e5 un3-liau7 leh?,所以我講彼咧搵料咧？,所以我說那個醬汁呢？,匿名
775,lān-mōa,lan7-moa7,lān-muā,lan7-mua7,𡳞蔓,陰毛,薛丞宏
776,iau-kôaⁿ-gō,iau-koann5-go7,iau-kuânn-gō,iau-kuann5-go7,枵寒餓,飢寒交迫,匿名
777,ti̍t-chiap chhī,tit8-chiap chhi7,ti̍t-tsiap tshī,tit8-tsiap tshi7,直接飼,親餵,Pochung Pektiong Chen
778,thia̍p-á,thiap8-a2,thia̍p-á,thiap8-a2,疊仔,積木,匿名
779,ām-kui-sàn,am7-kui-san3,ām-kui-sàn,am7-kui-san3,頷胿腺,甲狀腺,匿名
780,tāi-kau,tai7-kau,tāi-kau,tai7-kau,代溝,代溝,匿名
781,pió-toaⁿ,pio2-toann,pió-tuann,pio2-tuann,表單,表單,匿名
782,koaⁿ-bāng,koann-bang7,kuann-bāng,kuann-bang7,官網,官網,匿名
783,kháu-chō,khau2-cho7,kháu-tsō,khau2-tso7,口座,帳號,匿名
784,sak po̍k--khì,sak pok8--khi3,sak po̍k--khì,sak pok8--khi3,捒爆去,推爆,匿名
785,tó--leh mā tio̍h-chhèng,to2--leh ma7 tioh8-chheng3,tó--leh mā tio̍h-tshìng,to2--leh ma7 tioh8-tshing3,倒咧嘛著銃,躺著也中槍,匿名
786,mài mn̄g chin khióng-pò͘,mai3 mng7 chin khiong2-poo3,mài mn̄g tsin khióng-pòo,mai3 mng7 tsin khiong2-poo3,莫問真恐怖,不要問很恐怖,匿名
787,ba̍k-thâu chi̍t-ē kat,bak8-thau5 chit8-e7 kat,ba̍k-thâu tsi̍t-ē kat,bak8-thau5 tsit8-e7 kat,目頭一下結,眉頭一皺,匿名
788,Tâi-gí án-chóaⁿ liām,Tai5-gi2 an2-choann2 liam7,Tâi-gí án-tsuánn liām,Tai5-gi2 an2-tsuann2 liam7,台語按怎唸,台語怎麼唸,匿名
789,chhâ-tè-á,chha5-te3-a2,tshâ-tè-á,tsha5-te3-a2,柴塊仔,積木,Lîm Tshong-bîng
790,kap-chhâ-thiāu,kap-chha5-thiau7,kap-tshâ-thiāu,kap-tsha5-thiau7,佮柴柱,積木,匿名
791,chhâ-thia̍p-á,chha5-thiap8-a2,tshâ-thia̍p-á,tsha5-thiap8-a2,柴疊仔,積木,Lûi Bêng-Hàn
792,sio-kek-thâu-náu,sio-kek-thau5-nau2,sio-kik-thâu-náu,sio-kik-thau5-nau2,相激頭腦,腦力激盪,潘科元
793,kan-á-chhī,kan-a2-chhi7,kan-á-tshī,kan-a2-tshi7,矸仔飼,瓶餵,Pochung Pektiong Chen
794,tiàm-khang-ku,tiam3-khang-ku,tiàm-khang-ku,tiam3-khang-ku,踮空龜,阿宅,潘科元
795,hi-gí-si̍t-siōng,hi-gi2-sit8-siong7,hi-gí-si̍t-siōng,hi-gi2-sit8-siong7,虛擬實像,VR,匿名
796,khì-ióng-hu̍t-thn̂g-hu̍t-sng,khi3-iong2-hut8-thng5-hut8-sng,khì-ióng-hu̍t-thn̂g-hu̍t-sng,khi3-iong2-hut8-thng5-hut8-sng,去氧核糖核酸,去氧核糖核酸,E-Ping Rau
797,ú-mô͘-kiû,u2-moo5-kiu5,ú-môo-kiû,u2-moo5-kiu5,羽毛球,羽球,E-Ping Rau
798,Tang-chio̍h,Tang-chioh8,Tang-tsio̍h,Tang-tsioh8,東石,東石,E-Ping Rau
799,siàu-hō,siau3-ho7,siàu-hō,siau3-ho7,數號,帳號,E-Ping Rau
800,to-chhī-thoân-soat,to-chhi7-thoan5-soat,to-tshī-thuân-suat,to-tshi7-thuan5-suat,都市傳說,都市傳說,E-Ping Rau
801,bî-tiān-náu,bi5-tian7-nau2,bî-tiān-náu,bi5-tian7-nau2,微電腦,微電腦,E-Ping Rau
802,kúi-ông,kui2-ong5,kuí-ông,kui2-ong5,鬼王,鬼王,E-Ping Rau
803,khip-siu put-liông,khip-siu put-liong5,khip-siu put-liông,khip-siu put-liong5,吸收不良,吸收不良,E-Ping Rau
804,Tâi-lô pheng-im,Tai5-lo5 pheng-im,Tâi-lô phing-im,Tai5-lo5 phing-im,臺羅拼音,臺羅拼音,E-Ping Rau
805,o͘-àm-hîn,oo-am3-hin5,oo-àm-hîn,oo-am3-hin5,烏暗眩,暈眩,E-Ping Rau
806,náu-iām,nau2-iam7,náu-iām,nau2-iam7,腦炎,腦炎,E-Ping Rau
807,hoat-io̍k put-liông,hoat-iok8 put-liong5,huat-io̍k put-liông,huat-iok8 put-liong5,發育不良,發育不良,E-Ping Rau
808,hù-chok-iōng,hu3-chok-iong7,hù-tsok-iōng,hu3-tsok-iong7,副作用,副作用,E-Ping Rau
809,oai-thâu-chhài,oai-thau5-chhai3,uai-thâu-tshài,uai-thau5-tshai3,歪頭菜,山蘇,E-Ping Rau
810,gāi-gio̍h,gai7-gioh8,gāi-gio̍h,gai7-gioh8,礙虐,尷尬,E-Ping Rau
811,kàm-sī-khì,kam3-si7-khi3,kàm-sī-khì,kam3-si7-khi3,監視器,監視器,E-Ping Rau
812,piáu-toaⁿ,piau2-toann,piáu-tuann,piau2-tuann,表單,表單,E-Ping Rau
813,phah-kang,phah-kang,phah-kang,phah-kang,拍工,打工,Ôo Siok-tsing
814,cháu-pio,chau2-pio,tsáu-pio,tsau2-pio,走標,跑步,Ôo Siok-tsing
