"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HoaBun","EngBun","KaisoehEngbun","NounClassifier","LesuPoj","Opposite","LekuPoj","LekuEngbun","LekuHoabun","Confer","PageNumber"
"1056","chiok-hó","","chiok-ho2","","tsiok-hó","","tsiok-ho2","","很好","very good, very nice","","","","","","","","chiok","148"
"1057","chiok-gâu","","chiok-gau5","","tsiok-gâu","","tsiok-gau5","","很聰明","very clever","","","","","","","","chiok","148"
"1058","chiok-súi","","chiok-sui2","","tsiok-suí","","tsiok-sui2","","很漂亮","very beautiful","","","","","","","","chiok","148"
"1059","chiong-hòa","","chiong-hoa3","","tsiong-huà","","tsiong-hua3","","彰化","Changhua","","","","","","","","","149"
"1060","chiong-lâi","","chiong-lai5","","tsiong-lâi","","tsiong-lai5","","將來","in the future","","","","","","","","","149"
"1061","chiông","","chiong5","","tsiông","","tsiong5","","從","to obey, to follow, to submit to","","","","","Lí ê sim-pū ū chiông lí bô?","Does your daughter-in-law obey you?","你的媳婦有沒有順從你？","","149"
"1062","chióng-lē","","chiong2-le7","","tsióng-lē","","tsiong2-le7","","獎勵","to encourage, promote, urge (V.N.)","","","chióng-lē o̍h tō-lí/chióng-lē tha̍k-chheh","","","","","","149"
"1063","chióng-lē o̍h tō-lí","","chiong2-le7 oh8 to7-li2","","tsióng-lē o̍h tō-lí","","tsiong2-le7 oh8 to7-li2","","獎勵學道理","to urge to study the doctrine","","","","","","","","chióng-lē","149"
"1064","chióng-lē tha̍k-chheh","","chiong2-le7 thak8-chheh","","tsióng-lē tha̍k-tsheh","","tsiong2-le7 thak8-tsheh","","獎勵讀書","to encourage to study","","","","","","","","chióng-lē","149"
"1065","chióng-chióng","chéng-chéng","chiong2-chiong2","cheng2-cheng2","tsióng-tsióng","tsíng-tsíng","tsiong2-tsiong2","tsing2-tsing2","種種","various kinds, all kinds","","","chióng-chióng ê lí-iû/chióng-chióng ê tāi-chì","","","","","","149"
"1066","chióng-chióng ê lí-iû","","chiong2-chiong2 e5 li2-iu5","","tsióng-tsióng ê lí-iû","","tsiong2-tsiong2 e5 li2-iu5","","種種的理由","several reasons, every reason","","","","","","","","chióng-chióng","149"
"1067","chióng-chióng ê tāi-chì","","chiong2-chiong2 e5 tai7-chi3","","tsióng-tsióng ê tāi-tsì","","tsiong2-tsiong2 e5 tai7-tsi3","","種種的事情","all sorts of affairs","","","","","","","","chióng-chióng","149"
"1068","chiông-chiân","","chiong5-chian5","","tsiông-tsiân","","tsiong5-tsian5","","從前","formerly, before","","","","","Chiông-chiân i the chò seng-lí.","He was formerly in business.","從前他在做生意","","149"
"1069","chip-chiàu","","chip-chiau3","","tsip-tsiàu","","tsip-tsiau3","","執照","licence","","","kà-sú chip-chiàu/thih-bé ê chip-chiàu/ō͘-tho͘-bái ê chip-chiàu","","","","","","150"
"1070","kà-sú chip-chiàu","","ka3-su2 chip-chiau3","","kà-sú tsip-tsiàu","","ka3-su2 tsip-tsiau3","","駕駛執照","driver's licence","","","","","","","","chip-chiàu","150"
"1071","thih-bé ê chip-chiàu","","thih-be2 e5 chip-chiau3","","thih-bé ê tsip-tsiàu","","thih-be2 e5 tsip-tsiau3","","脚踏車執照","a licence for bicycle","","","","","","","","chip-chiàu","150"
"1072","ō͘-tho͘-bái ê chip-chiàu","","oo7-thoo-bai2 e5 chip-chiau3","","ōo-thoo-bái ê tsip-tsiàu","","oo7-thoo-bai2 e5 tsip-tsiau3","","機器脚踏車執照","a motorcycle license","","","","","","","","chip-chiàu","150"
"1073","chi̍p-ha̍p","chū-chi̍p","chip8-hap8","chu7-chip8","tsi̍p-ha̍p","tsū-tsi̍p","tsip8-hap8","tsu7-tsip8","集合、聚集","to gather, to meet, to assmble","","","","","Kúi tiám boeh tòa toh-ūi chi̍p-ha̍p?","Where and at what time shall we get together?","幾點鐘要在何處集會？","","150"
"1074","chit","","chit","","tsit","","tsit","","這個","this","","","","","","","","","150"
"1075","chit-gia̍p","","chit-giap8","","tsit-gia̍p","","tsit-giap8","","職業","profession, occupation","","","","","","","","","150"
"1076","chi̍t-ē-á","","chit8-e7-a2","","tsi̍t-ē-á","","tsit8-e7-a2","","一會兒","a little while","","","","","","","","","150"
"1077","chit-ē","","chit-e7","","tsit-ē","","tsit-e7","","一俟","as soon as","","","","","Lāu-pē chi̍t-ē sí-khì, kiáⁿ chiū tōa siaⁿ khàu.","As soon as their father died, the children all wailed very loudly.","一俟父親死去，兒子就大聲哭起來","","150"
"1078","chi̍t bīn ê hûn","","chit8 bin7 e5 hun5","","tsi̍t bīn ê hûn","","tsit8 bin7 e5 hun5","","一面的雲","an expanse of clouds","","","","","","","","","151"
"1079","chi̍t nî tiong","","chit8 ni5 tiong","","tsi̍t nî tiong","","tsit8 ni5 tiong","","一年中、整年","during the year","","","","","I chi̍t nî toing chia̍h io̍h-á chia̍h bô hioh-khùn.","He takes medicines all during the year without stopping.","他一年中服藥沒有中止（間斷）","","151"
"1080","chi̍t kóa","","chit8 koa2","","tsi̍t kuá","","tsit8 kua2","","一些","some","","","","","","","","","151"
"1081","chi̍t sì-lâng","","chit8 si3-lang5","","tsi̍t sì-lâng","","tsit8 si3-lang5","","一生","all one's life","","","","","I chi̍t sì lâng chò chin chē hó tāi-chì.","He did many good deeds all during his life.","他一生中做了好多好事情","","151"
"1082","chi̍t sut-á","","chit8 sut-a2","","tsi̍t sut-á","","tsit8 sut-a2","","一些","a little (in amount) (not in time)","","","","","","","","","151"
"1083","chi̍t sî-á","","chit8 si5-a2","","tsi̍t sî-á","","tsit8 si5-a2","","一會兒","just a little while","","","","","","","","","151"
"1084","chi̍t ba̍k nih-á","","chit8 bak8 nih-a2","","tsi̍t ba̍k nih-á","","tsit8 bak8 nih-a2","","一會兒","just a little while","","","","","","","","","151"
"1085","chi̍t tiap-kú-á","","chit8 tiap-ku2-a2","","tsi̍t tiap-kú-á","","tsit8 tiap-ku2-a2","","一會兒","just a little while","","","","","","","","","151"
"1086","chi̍t tiap á-kú","","chit8 tiap a2-ku2","","tsi̍t tiap á-kú","","tsit8 tiap a2-ku2","","一會兒","just a little while","","","","","","","","","151"
"1087","chi̍t","","chit8","","tsi̍t","","tsit8","","","","The word ""[tsit8]"", one, is often used to express the idea of, ""entire"", ""whole"", ""complete"".","","","","Chi̍t seng-khu tâm lok-lok.(or kui seng-khu)/Chi̍t (ê) bīn lóng sī lia̍p-á (or kui-bīn)./Chi̍t chhù lāi (or chi̍t lāi-bīn) chin lah-sap (or kui chhù-lāi)./Chi̍t pâng-keng lóng sī chheh (or kui pang-keng)./Chi̍t toh-téng lóng sī hó͘-sîn (or kui toh-téng).","The whole body is soaked.\The whole face is full of boils.\""This whole place is all dirty.\This whole inside of the house is filthy.""\The whole room is filled with books.\The entire top of the table is covered with flies.","全身都濕透了/整個臉都是傷/整過屋子都很髒/全室都是書/整個桌面都是蒼蠅","","152"
"1088","chit","","chit","","tsit","","tsit","","織","to weave","","","","","","","","","152"
"1089","chit-pò͘","","chit-poo3","","tsit-pòo","","tsit-poo3","","織布","to weave cloth","","","","","","","","","152"
"1090","chit-oân","","chit-oan5","","tsit-uân","","tsit-uan5","","職員","personnel, staff","","","","","Chit ê ha̍k-hāu ū kúi ê chit-oân?","How many are on the staff in this school?","這個學校有幾個職員","","153"
"1091","chit-gia̍p ha̍k-hāu","","chit-giap8 hak8-hau7","","tsit-gia̍p ha̍k-hāu","","tsit-giap8 hak8-hau7","","職業學校","a vocational school","","","","","","","","","153"
"1092","chit-kang","oân-kang","chit-kang","oan5-kang","tsit-kang","uân-kang","tsit-kang","uan5-kang","職工、員工","a workman (of a factory)","","","","","","","","","153"
"1093","chit-bū","","chit-bu7","","tsit-bū","","tsit-bu7","","職務","duties, functions, duties of office","","","","","Tùi lín ê chit-bū ài jīn-chin.","You should be conscientious about your duties.","對妳們的職務要認真","","153"
"1094","chit-būn","","chit-bun7","","tsit-būn","","tsit-bun7","","質問、疑問","a question, to ask","","","","","Lín í-gōa iáu-ū sím-mih chit-būn bô?","Have you still any questions?","你們以外還有什麼疑問嗎？","","153"
"1095","chiū","","chiu7","","tsiū","","tsiu7","","就","then","","","","","","","","","153"
"1096","chiū-sī","","chiu7-si7","","tsiū-sī","","tsiu7-si7","","就是","that is, namely","","","","","","","","","153"
"1097","chiú","","chiu2","","tsiú","","tsiu2","","酒","wine","","","chi̍t koàn chiú","","","","","","154"
"1098","chi̍t koàn chiú","chi̍t kan chiú","chit8 koan3 chiu2","chit8 kan chiu2","tsi̍t kuàn tsiú","tsi̍t kan tsiú","tsit8 kuan3 tsiu2","tsit8 kan tsiu2","一瓶酒","a bottle of wine","","","","","","","","chiú","154"
"1099","chiù-chōa","","chiu3-choa7","","tsiù-tsuā","","tsiu3-tsua7","","發誓","to take an oath, to swear","","","","","M̄-thang loān-sú chiù-chōa!","Don’t swear without a good reason!","不可隨便發誓！","","154"
"1100","chiù","","chiu3","","tsiù","","tsiu3","","腐朽","decay, moth eaten, decayed (as teeth or wood)","","","","","","","","","154"
"1101","chiù khí","","chiu3 khi2","","tsiù khí","","tsiu3 khi2","","齲齒","decayed teeth","","","","","Toh-á the chiù.","The table is being eaten by insects.","桌子在腐朽","","154"
"1102","chiu-khan","","chiu-khan","","tsiu-khan","","tsiu-khan","","週刊的","weekly","","","","","","","","","154"
"1103","chiu-khan sin-bûn","","chiu-khan sin-bun5","","tsiu-khan sin-bûn","","tsiu-khan sin-bun5","","週刊報紙","a weekly (paper)","","","","","","","","","154"
"1104","chiu-khan cha̍p-chì","","chiu-khan chap8-chi3","","tsiu-khan tsa̍p-tsì","","tsiu-khan tsap8-tsi3","","週刊雜誌","a weekly magazine","","","","","","","","","154"
"1105","chiú-chhài","","chiu2-chhai3","","tsiú-tshài","","tsiu2-tshai3","","酒肴","wine and food","","","","","Chún-pī chiú-chhài lâi chhiáⁿ lâng-kheh.","Prepare some wine and food to treat the guests.","準備酒肴以便請客","","154"
"1106","chiú-cheng","","chiu2-cheng","","tsiú-tsing","","tsiu2-tsing","","酒精","alcohol","","","","","","","","","154"
"1107","chiu-ûi","","chiu-ui5","","tsiu-uî","","tsiu-ui5","","周圍","the circumference, environment","","","hî-tî ê chiu-ûi/chiu-ûi ê lâng","","","","","","155"
"1108","hî-tî ê chiu-ûi","","hi5-ti5 e5 chiu-ui5","","hî-tî ê tsiu-uî","","hi5-ti5 e5 tsiu-ui5","","池塘的周圍","the circumference of the pond","","","","","","","","chiu-ûi","155"
"1109","chiu-ûi ê lâng","","chiu-ui5 e5 lang5","","tsiu-uî ê lâng","","tsiu-ui5 e5 lang5","","周圍的人、鄰居","attendants, neighbors, the people around us, associates","","","","","","","","chiu-ûi","155"
"1110","chiū-chit","chiū-gia̍p","chiu7-chit","chiu7-giap8","tsiū-tsit","tsiū-gia̍p","tsiu7-tsit","tsiu7-giap8","就職（業）","securing employment, enter into service","","","","","","","","","155"
"1111","chiū-gia̍p khó-chhì","","chiu7-giap8 kho2-chhi3","","tsiū-gia̍p khó-tshì","","tsiu7-giap8 kho2-tshi3","","就業考試","an examination for service","","","","","","","","","155"
"1112","chiuⁿ","","chiunn","","tsiunn","","tsiunn","","章","chapter","","","tē gō͘ chiuⁿ tē cha̍p la̍k chat","","","","","","155"
"1113","tē gō͘ chiuⁿ tē cha̍p la̍k chat","","te7 goo7 chiunn te7 chap8 lak8 chat","","tē gōo tsiunn tē tsa̍p la̍k tsat","","te7 goo7 tsiunn te7 tsap8 lak8 tsat","","第五章第十六節","chapter 5 verse 16","","","","","","","","chiuⁿ","155"
"1114","chiūⁿ","","chiunn7","","tsiūnn","","tsiunn7","","痒","itch, itchy","","","","","Chit ūi ē chiūⁿ.","This is itchy.","這個地方會癢","","155"
"1115","chiuⁿ","","chiunn","","tsiunn","","tsiunn","","使漿硬","to starch","","","","","Lāi saⁿ m̄-bián chiuⁿ.","No need to starch underwear.","內衣不要漿硬","","155"
"1116","chiuⁿ-ló͘","","chiunn-loo2","","tsiunn-lóo","","tsiunn-loo2","","樟腦","camphor","","","","","","","","","156"
"1117","chiuⁿ-ló͘-iû","","chiunn-loo2-iu5","","tsiunn-lóo-iû","","tsiunn-loo2-iu5","","樟腦油","camphor oil","","","","","","","","","156"
"1118","chiūⁿ","","chiunn7","","tsiūnn","","tsiunn7","","上、昇","to go up, to scend","","","","","Chiūⁿ soaⁿ iā chi̍t ji̍t, lo̍h hái iā chi̍t ji̍t.","Going up the mountain is a day, going down to sea is also a day. This is a nice way of saying one should not be in a rush to get things done. Festina lente!","上山也一天，下海也一天","","156"
"1119","chiùⁿ","","chiunn3","","tsiùnn","","tsiunn3","","泥濘","muddy (a road, ground)","","","","","Hit tiâu lō͘ ē chiùⁿ bē?","Is that road muddy?","那條路泥濘嗎？","","156"
"1120","chiúⁿ-koàn","","chiunn2-koan3","","tsiúnn-kuàn","","tsiunn2-kuan3","","獎券","a lottery ticket, ($5.00 N.T. per ticket)","","","","","","","","","156"
"1121","chng","","chng","","tsng","","tsng","","裝、粧","to decorate","","","","","Góa boeh chhōa bó͘, pâng-keng kā góa chng hō͘ súi!","I am going to get married, decorate the room very nicely for me!","我要娶妻，替我把房間裝飾美麗","","156"
"1122","chńg-thâu-á","","chng2-thau5-a2","","tsńg-thâu-á","","tsng2-thau5-a2","","手指、足指","fingers or toes","","","","","","","","","157"
"1123","kha chńg-thâu-á","","kha chng2-thau5-a2","","kha tsńg-thâu-á","","kha tsng2-thau5-a2","","腳趾、足趾","toes","","","","","","","","","157"
"1124","chng","","chng","","tsng","","tsng","","庄、鄉村","village","","","","","","","","","157"
"1125","chhân-chng-lâng","","chhan5-chng-lang5","","tshân-tsng-lâng","","tshan5-tsng-lang5","","鄉下人","a country lad","","","","","","","","","157"
"1126","chǹg","","chng3","","tsǹg","","tsng3","","鑽","to bore, to make a hole (with an awl)","","","","","","","","","157"
"1127","chǹg-á","","chng3-a2","","tsǹg-á","","tsng3-a2","","鑽子","an awl","","","","","Ēng chǹg-á chǹg chi̍t khang.","Bore a hole with an awl.","用鑽子鑽一孔","","157"
"1128","chǹg","","chng3","","tsǹg","","tsng3","","爬進、潛入","to creep (crawl) in, dive into a hole","","","chǹg ji̍p khì khang-lāi/chǹg lo̍h khì chúi té","","","","","","157"
"1129","chǹg ji̍p khì khang-lāi","","chng3 jip8 khi3 khang-lai7","","tsǹg ji̍p khì khang-lāi","","tsng3 jip8 khi3 khang-lai7","","爬進孔裡","to crawl into a hole","","","","","","","","chǹg","157"
"1130","chǹg lo̍h khì chúi té","","chng3 loh8 khi3 chui2 te2","","tsǹg lo̍h khì tsuí té","","tsng3 loh8 khi3 tsui2 te2","","潛入水裡","to dive into the water","","","","","","","","chǹg","157"
"1131","chng-á","","chng-a2","","tsng-á","","tsng-a2","","磚","a brick","","tè","","","","","","","157"
"1132","cho","","cho","","tso","","tso","","","","A better and more accurate Romanization for this suoud is ""[Tso]"" and the Ts should be pronounced as in the combination HATS-OFF, which is quite different from the CH sound when followed by ""I"" or ""E"" as in CATCH-IT.","","","","","","","","157"
"1133","chō","","cho7","","tsō","","tso7","","造","to create, make something (big like a house)","","","","","Thiⁿ tē sī Thian-chú chō ê.","Heaven and earth were made by God.","天地是天主造的","","158"
"1134","chō kù","","cho7 ku3","","tsō kù","","tso7 ku3","","造句","to compose","","","","","Chhiáⁿ lí kā góa iōng chit kù “Kiong-kèng” lâi chō kù.","Please use this word [“Kiong Kèng”] in a sentence for me.","請你幫我用這句「恭敬」來造句","","158"
"1135","chò","","cho3","","tsò","","tso3","","做","to do, to make, to act","","","","","","","","","158"
"1136","chō--ji̍t","choh--ji̍t","cho7--jit8","choh--jit8","tsō--ji̍t","tsoh--ji̍t","tso7--jit8","tsoh--jit8","前天","the day before yesterday","","","","","","","","","158"
"1137","chò seng-lí","","cho3 seng-li2","","tsò sing-lí","","tso3 sing-li2","","做生意","to do business","","","","","","","","","158"
"1138","chò chi̍t-ē","","cho3 chit8-e7","","tsò tsi̍t-ē","","tso3 tsit8-e7","","整個、忽然","all at once, all together","","","","","Lín cha̍p ūi sîn-hū chò chi̍t ē lâi, góa bô í-á thang hō͘ lín chē!","You ten priests came all at once, I have no chairs for you to sit on.","您們十位神父一塊來，我沒有椅子給您們坐","","158"
"1139","chò-hóe","","cho3-hoe2","","tsò-hué","","tso3-hue2","","一齊、一起","together","","","","","","","","","158"
"1140","chò-tīn","","cho3-tin7","","tsò-tīn","","tso3-tin7","","一齊","together","","","","","","","","","159"
"1141","chò-sit-lâng","","cho3-sit-lang5","","tsò-sit-lâng","","tso3-sit-lang5","","農夫","a farmer","","","","","","","","","159"
"1142","chò ē lâi","","cho3 e7 lai5","","tsò ē lâi","","tso3 e7 lai5","","做得來","can do it","","","","","","","","","159"
"1143","chò bē lâi","","cho3 be7 lai5","","tsò bē lâi","","tso3 be7 lai5","","做不來","cannot do it","","","","","","","","","159"
"1144","chò ē khì","","cho3 e7 khi3","","tsò ē khì","","tso3 e7 khi3","","做得了","can do it all","","","","","","","","","159"
"1145","chò bē khì","","cho3 be7 khi3","","tsò bē khì","","tso3 be7 khi3","","做不了","cannot do it all","","","","","","","","","159"
"1146","chò lí","","cho3 li2","","tsò lí","","tso3 li2","","隨你⋯⋯好了","go ahead, do as you please","","","","","Góa nā bān tńg-lâi, chò lín chia̍h, m̄-bián tán góa./Chò lí khì kā i kóng, góa m̄ kiaⁿ i chai.","If I come back late, go ahead and eat, you need not wait for me.\Go ahead and tell him, I don’t care if he knows.","要是我回來遲了，請你們先吃好了，不必等我/你去告訴他好了，我不怕他知道","","159"
"1147","chò môe-lâng","","cho3 moe5-lang5","","tsò muê-lâng","","tso3 mue5-lang5","","做婚事介紹人、媒介者","act as a go-between (a matchmaker)","","","","","Chhiáⁿ lí kā goán hāu-siⁿ chò môe-lâng.","Will you please be a middleman for my son? (help to arrange his marriage).","請你給我的兒子做婚事介紹人","","159"
"1148","chó͘-sian","","choo2-sian","","tsóo-sian","","tsoo2-sian","","祖先","ancestors","","","","","","","","","160"
"1149","cho͘-chit","","choo-chit","","tsoo-tsit","","tsoo-tsit","","組織","to organize, organization","","","","","Chit ê hōe ê cho͘-chit chin lí-sióng.","The organization of this society is very ideal.","這個會組織得很理想","","160"
"1150","chó͘-tòng","","choo2-tong3","","tsóo-tòng","","tsoo2-tong3","","阻止","to hinder, to prevent","","","","","Lí nā sī boeh chò hó tāi-chì， góa bô kā lí chó͘-tòng!","If you want to do something good, I won’t prevent you.","你如果要做好事，我不阻止你","","160"
"1151","chō͘-chhiú","","choo7-chhiu2","","tsōo-tshiú","","tsoo7-tshiu2","","助手","an assistant (Lit. helping-hand)","","","","","","","","","160"
"1152","chō͘-chān","","choo7-chan7","","tsōo-tsān","","tsoo7-tsan7","","贊助","to help","","","","","Chhiáⁿ lí chi̍t sut-á chō͘-chān góa bé io̍h-á.","Please help me a littlee to buy some medicine.","請你贊助我一點藥費","","160"
"1153","chō͘-sán-sū","sán-pô","choo7-san2-su7","san2-po5","tsōo-sán-sū","sán-pô","tsoo7-san2-su7","san2-po5","助產士","a midwife","","","","","","","","","161"
"1154","cho͘","tàu","choo","tau3","tsoo","tàu","tsoo","tau3","組","to set up, to assemble","","","cho͘ siu-im-ki/cho͘ o͘-tho͘-bái","","","","","","161"
"1155","cho͘ siu-im-ki","","choo siu-im-ki","","tsoo siu-im-ki","","tsoo siu-im-ki","","組收音機","to set up a radio","","","","","","","","cho͘","161"
"1156","cho͘ o͘-tho͘-bái","","choo oo-thoo-bai2","","tsoo oo-thoo-bái","","tsoo oo-thoo-bai2","","組機器脚踏車","to assemble a motorbike","","","","","","","","cho͘","161"
"1157","cho͘","sòe","choo","soe3","tsoo","suè","tsoo","sue3","租","to rent","","","","","Góa chit keng chhù boeh cho͘ lâng (or sòe lâng)./Góa boeh cho͘ chi̍t keng chhù lâi tòa. (or sòe chi̍t keng chhù).","I want to rent this house to someone.\I want to rent a house to live in.","我這間房子欲出租/我要租一間房子來住","","161"
"1158","chóa","","choa2","","tsuá","","tsua2","","紙","paper","","chi̍t tiuⁿ","pò-chóa/sin-bûn","","","","","","161"
"1159","pò-chóa","","po3-choa2","","pò-tsuá","","po3-tsua2","","報紙","news paper","","","","","","","","chóa","161"
"1160","sin-bûn","","sin-bun5","","sin-bûn","","sin-bun5","","報紙","news paper (without [tsua2])","","","","","","","","chóa","161"
"1161","chôa","","choa5","","tsuâ","","tsua5","","蛇","a snake","","chi̍t bóe","","","","","","","161"
"1162","chōa","","choa7","","tsuā","","tsua7","","行","a line, a row","","","","","Tùi tē saⁿ chōa tha̍k khí.","Start reading from line three.","從第三行讀起","","161"
"1163","choan","","choan","","tsuan","","tsuan","","專","exclusively, undividedly","","","","","","","","","162"
"1164","choan-sim","","choan-sim","","tsuan-sim","","tsuan-sim","","專心","with all one's mind, devotedly","","","","","","","","","162"
"1165","choan-ka","","choan-ka","","tsuan-ka","","tsuan-ka","","專家","a specialist, an expert","","","","","","","","","162"
"1166","choân","kui","choan5","kui","tsuân","kui","tsuan5","kui","全","whole","","","","","","","","","162"
"1167","choân-lêng","","choan5-leng5","","tsuân-lîng","","tsuan5-ling5","","全能","almighty","","","","","","","","","162"
"1168","choân-kok","","choan5-kok","","tsuân-kok","","tsuan5-kok","","全國","whole county","","","","","","","","","162"
"1169","choân-tó","choân-tó͘","choan5-to2","choan5-too2","tsuân-tó","tsuân-tóo","tsuan5-to2","tsuan5-too2","全島","whole island","","","","","","","","","162"
"1170","chôaⁿ-chúi","","choann5-chui2","","tsuânn-tsuí","","tsuann5-tsui2","","泉水","a spring, fountain","","","","","Goán chia bô chúi-tō, lóng ēng chôaⁿ-chúi.","We have no running water here, we inly use a spring.","我們這裡沒有自來水，都用泉水","","162"
"1171","choa̍t-tùi","","choat8-tui3","","tsua̍t-tuì","","tsuat8-tui3","","絕對","absolutely","","","","","Choa̍t-tùi m̄ sī","absolutely not","絕對不是","","163"
"1172","choa̍t-bōng","","choat8-bong7","","tsua̍t-bōng","","tsuat8-bong7","","絕望","despair, to be hopeless","","","","","I ê sìⁿ-miā í-keng choa̍t-bōng.","His life is already hopeless. (There is no hope for him.)","他的生命已經絕望了","","163"
"1173","choa̍t-iân","","choat8-ian5","","tsua̍t-iân","","tsuat8-ian5","","絕緣","to sever relations with one, to insolate (electricity)","","","","","I kap in a-hiaⁿ choa̍t-iân chin kú ah./Chit tiâu tiān-sòaⁿ ê choa̍t-iân bô sim-mih hó.","He severed relations with his older brother a long time ago.\This electic wore is not well imsolated.","他和他的哥哥絕緣好久了/這條電線的絕緣不大好","","163"
"1174","choa̍t-kau","","choat8-kau","","tsua̍t-kau","","tsuat8-kau","","絕交","to break off (friendship) with","","","","","Góa boeh kap lí choa̍t-kau.","Hereafter I will have nothing to do with you.","我要和你絕交","","163"
"1175","choa̍t-pit","","choat8-pit","","tsua̍t-pit","","tsuat8-pit","","絕筆","one's last writing","","","","","","","","","163"
"1176","chòe","","choe3","","tsuè","","tsue3","","最","very 15, the most, the best","","","","","","","","","164"
"1177","chòe-kīn","","choe3-kin7","","tsuè-kīn","","tsue3-kin7","","最近","most recently","","","","","","","","","164"
"1178","chòe āu hit tiám cheng","","choe3 au7 hit tiam2 cheng","","tsuè āu hit tiám tsing","","tsue3 au7 hit tiam2 tsing","","最後那堂","the last class","","","","","","","","","164"
"1179","chòe-chē","","choe3-che7","","tsuè-tsē","","tsue3-tse7","","最多","at most","","","","","","","","","164"
"1180","chòe-chió","","choe3-chio2","","tsuè-tsió","","tsue3-tsio2","","最少","at least, the smallest","","","","","Chòe chē m̄ bián gō͘ cha̍p kho͘./Chòe chió ái cha̍p kho͘.","At the most, it should be no more than $50.00.\It costs at least $10.00.","最多不要五十元/最少要十元","","164"
"1181","chōe","","choe7","","tsuē","","tsue7","","罪","sin","","","hoān-chōe","","","","","","164"
"1182","hoān-chōe","","hoan7-choe7","","huān-tsuē","","huan7-tsue7","","犯罪","to commit sin","","","","","","","","chōe","164"
"1183","chōe-jîn","","choe7-jin5","","tsuē-jîn","","tsue7-jin5","","罪人","a sinner","","","","","","","","","164"
"1184","chóng-thóng","","chong2-thong2","","tsóng-thóng","","tsong2-thong2","","總統","president","","","chiúⁿ chóng-thóng","","","","","","164"
"1185","chiúⁿ chóng-thóng","","chiunn2 chong2-thong2","","tsiúnn tsóng-thóng","","tsiunn2 tsong2-thong2","","蔣總統","President Chiang","","","","","","","","chóng-thóng","164"
"1186","chòng-sek","","chong3-sek","","tsòng-sik","","tsong3-sik","","葬事、葬儀","a funeral, a burial service","","","","","","","","","165"
"1187","chong-kàu","","chong-kau3","","tsong-kàu","","tsong-kau3","","宗教","religion","","","","","","","","","165"
"1188","chōng-hóng","","chong7-hong2","","tsōng-hóng","","tsong7-hong2","","情況、狀況","the state of affairs (things), a situation","","","pīⁿ-lâng ê chōng-hóng/gōa-bīn ê chōng-hóng","","","","","","165"
"1189","pīⁿ-lâng ê chōng-hóng","","pinn7-lang5 e5 chong7-hong2","","pīnn-lâng ê tsōng-hóng","","pinn7-lang5 e5 tsong7-hong2","","病人的情況","the state of the patient","","","","","","","","chōng-hóng","165"
"1190","gōa-bīn ê chōng-hóng","","goa7-bin7 e5 chong7-hong2","","guā-bīn ê tsōng-hóng","","gua7-bin7 e5 tsong7-hong2","","外面的狀況","the state of affairs outside","","","","","Lóng bô khòaⁿ sin-bûn, só͘-í m̄ chai sè-kài ê chōng-hóng.","I have not read the papers at all, so I don’t know the condition of the world.","根本不看報紙所以不知道世界的狀況","chōng-hóng","165"
"1191","chú","","chu2","","tsú","","tsu2","","主","Lord, master, host","","","","","","","","","165"
"1192","chú-sek","","chu2-sek","","tsú-sik","","tsu2-sik","","主席","master of ceremonies","","","","","","","","","165"
"1193","chú-lâng","","chu2-lang5","","tsú-lâng","","tsu2-lang5","","主人","host","","","","","","","","","165"
"1194","chú-ji̍t","","chu2-jit8","","tsú-ji̍t","","tsu2-jit8","","主日","Sunday","","","","","","","","","166"
"1195","chú","","chu2","","tsú","","tsu2","","煑","to cook","","","chú-pn̄g/chú-chhài","","","","","","166"
"1196","chú-pn̄g","","chu2-png7","","tsú-pn̄g","","tsu2-png7","","煑飯","to cook rice","","","","","","","","chú","166"
"1197","chú-chhài","","chu2-chhai3","","tsú-tshài","","tsu2-tshai3","","煑菜","to cook vegetables","","","","","","","","chú","166"
"1198","chū-iû","","chu7-iu5","","tsū-iû","","tsu7-iu5","","自由","liberty","","","","","","","","","166"
"1199","chū","","chu7","","tsū","","tsu7","","自、從","from","","","chū chím-má khí","","","","","","166"
"1200","chū chím-má khí","","chu7 chim2-ma2 khi2","","tsū tsím-má khí","","tsu7 tsim2-ma2 khi2","","從現在起","from now on","","","","","","","","chū","166"
"1201","chū-jiân","","chu7-jian5","","tsū-jiân","","tsu7-jian5","","自然","naturally","","","","","Kiáⁿ nā chò pháiⁿ tāi-chì, chū-jiân pē-bú ē hoan-ló.","If children do wiched deeds, parents are naturally worried.","兒子如果做壞事情，自然父母會煩惱","","166"
"1202","chū-jiân","","chu7-jian5","","tsū-jiân","","tsu7-jian5","","自然（科）","natural science","","","","","","","","","166"
"1203","chu-soàn","","chu-soan3","","tsu-suàn","","tsu-suan3","","珠算","to calculate with an abacus","","","","","","","","","166"
"1204","chù-ì","","chu3-i3","","tsù-ì","","tsu3-i3","","注意","attention, to pay attention, be careful","","","","","","","","","166"
"1205","chú-chia̍h--ê","","chu2-chiah8--e5","","tsú-tsia̍h--ê","","tsu2-tsiah8--e5","","廚役","a cook","","","","","","","","","166"
"1206","chu-pún","","chu-pun2","","tsu-pún","","tsu-pun2","","資本","capital","","","","","","","","","167"
