"id","poj_unicode","poj_input","kip_unicode","kip_input","hanlo_taibun_poj","hanlo_taibun_kip","hoabun","english","poochhiong_chuliau","muithe_miachheng","hongsang_jitki","liankiat"
"866","kháu-chàu","khau2-chau3","kháu-tsàu","khau2-tsau3","口灶","口灶","一戶","","","【民視台灣學堂】台語講世事","2018.05.31","https://youtu.be/Cr1RtJ4FFI0"
"867","pó-chiòng","po2-chiong3","pó-tsiòng","po2-tsiong3","保障","保障","保障","","","【民視台灣學堂】台語講世事","2018.05.31","https://youtu.be/Cr1RtJ4FFI0"
"868","pó-chiong","po2-chiong","pó-tsiong","po2-tsiong","保障","保障","保障","","","【民視台灣學堂】台語講世事","2018.05.31","https://youtu.be/Cr1RtJ4FFI0"
"869","khoat-tiám","khoat-tiam2","khuat-tiám","khuat-tiam2","缺點","缺點","缺點","","","【民視台灣學堂】台語講世事","2018.05.31","https://youtu.be/Cr1RtJ4FFI0"
"870","hì-lāng","hi3-lang7","hì-lāng","hi3-lang7","戲弄","戲弄","騷擾","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"871","Chia̍h thàng hái--ê","Chiah8 thang3 hai2--e5","Tsia̍h thàng hái--ê","Tsiah8 thang3 hai2--e5","食迵海--ê","食迵海--ê","","","相關詞：chia̍h bián kiaⁿ(食免驚)","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"872","O͘-káu thau chia̍h, pe̍h-káu siū chōe.","Oo-kau2 thau chiah8, peh8-kau2 siu7 choe7.","Oo-káu thau tsia̍h, pe̍h-káu siū tsuē.","Oo-kau2 thau tsiah8, peh8-kau2 siu7 tsue7.","烏狗偷食，白狗受罪","烏狗偷食，白狗受罪","","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"873","Ká-ná “mo͘h-piah-kúi”--leh","Ka2-na2 “mooh-piah-kui2”--leh","Ká-ná “mooh-piah-kuí”--leh","Ka2-na2 “mooh-piah-kui2”--leh","敢若「mo͘h壁鬼」--leh","敢若「mooh壁鬼」--leh","","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"874","chú-tê-phiau","chu2-te5-phiau","tsú-tê-phiau","tsu2-te5-phiau","主題標","主題標","主題標記","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"875","so-jiáu","so-jiau2","so-jiáu","so-jiau2","騷擾","騷擾","騷擾","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"876","ko͘ -phâng","koo -phang5","koo -phâng","koo -phang5","孤帆","孤帆","孤單","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"877","póe-hōe","poe2-hoe7","pué-huē","pue2-hue7","掰會","掰會","澄清","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"878","Ut-ut tī sim-té, chhiò-chhiò pôe lâng lé.","Ut-ut ti7 sim-te2, chhio3-chhio3 poe5 lang5 le2.","Ut-ut tī sim-té, tshiò-tshiò puê lâng lé.","Ut-ut ti7 sim-te2, tshio3-tshio3 pue5 lang5 le2.","鬱鬱佇心底，笑笑陪人禮","鬱鬱佇心底，笑笑陪人禮","","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"879","sèng-hì-lāng","seng3-hi3-lang7","sìng-hì-lāng","sing3-hi3-lang7","性戲弄","性戲弄","性騷擾","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"880","ang-á-bīn","ang-a2-bin7","ang-á-bīn","ang-a2-bin7","尪仔面","尪仔面","面具","","相關詞：siáu-kúi-á-khak(小鬼仔殼),ang-á-khak(尪仔殼)","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"881","pō-le̍k","po7-lek8","pō-li̍k","po7-lik8","暴力","暴力","暴力","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"882","po̍k-le̍k","pok8-lek8","po̍k-li̍k","pok8-lik8","暴力","暴力","暴力","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"883","sim-sng","sim-sng","sim-sng","sim-sng","心酸","心酸","心酸","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"884","nâ-âu-tīⁿ","na5-au5-tinn7","nâ-âu-tīnn","na5-au5-tinn7","嚨喉淀","嚨喉淀","情緒激動到說不出話，哽咽","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"885","tàn-hìⁿ-sak","tan3-hinn3-sak","tàn-hìnn-sak","tan3-hinn3-sak","擲挕捒","擲挕捒","丟掉","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"886","Ká-ná 「mo͘h-piah-kúi」--leh.","Ka2-na2 「mooh-piah-kui」2--leh.","Ká-ná 「mooh-piah-kuí」--leh.","Ka2-na2 「mooh-piah-kui」2--leh.","敢若「mo͘h壁鬼」--leh","敢若「mooh壁鬼」--leh","好像偷偷摸摸或很安靜的人","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"887","sèng-so-jiáu","seng3-so-jiau2","sìng-so-jiáu","sing3-so-jiau2","性騷擾","性騷擾","性騷擾","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"888","sèng-chhim-hoān","seng3-chhim-hoan7","sìng-tshim-huān","sing3-tshim-huan7","性侵犯","性侵犯","性侵犯","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"889","chhim-hoān","chhim-hoan7","tshim-huān","tshim-huan7","侵犯","侵犯","侵犯","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"890","sèng-io̍k","seng3-iok8","sìng-io̍k","sing3-iok8","性慾","性慾","性慾","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"891","phòa-pēⁿ","phoa3-penn7","phuà-pēnn","phua3-penn7","破病","破病","生病","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"892","phòa-pīⁿ","phoa3-pinn7","phuà-pīnn","phua3-pinn7","破病","破病","生病","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"893","tì-pēⁿ","ti3-penn7","tì-pēnn","ti3-penn7","致病","致病","生病","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"894","tì-pīⁿ","ti3-pinn7","tì-pīnn","ti3-pinn7","致病","致病","生病","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"895","chek-pī","chek-pi7","tsik-pī","tsik-pi7","責備","責備","責備","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"896","ap-pek","ap-pek","ap-pik","ap-pik","壓迫","壓迫","壓迫","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"897","gō͘-hōe","goo7-hoe7","gōo-huē","goo7-hue7","誤會","誤會","誤會","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"898","póe-hōe","poe2-hoe7","pué-huē","pue2-hue7","掰會","掰會","化解誤會，說明事情","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"899","sèng-pia̍t-pêng-téng","seng3-piat8-peng5-teng2","sìng-pia̍t-pîng-tíng","sing3-piat8-ping5-ting2","性別平等","性別平等","性別平等","","","【民視台灣學堂】台語講世事","2018.06.07","https://youtu.be/bD5gyl-EyGo"
"900","liām-hiuⁿ","liam7-hiunn","liām-hiunn","liam7-hiunn","捻香","捻香","上香","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"901","khah súi kòe thiⁿ-chheⁿ/thiⁿ-chhiⁿ kap goe̍h-niû","khah sui2 koe3 thinn-chhenn/thinn-chhinn kap goeh8-niu5","khah suí kuè thinn-tshenn/thinn-tshinn kap gue̍h-niû","khah sui2 kue3 thinn-tshenn/thinn-tshinn kap gueh8-niu5","較媠過天星佮月娘","較媠過天星佮月娘","愈夜愈美麗","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"902","lān-thân","lan7-than5","lān-thân","lan7-than5","亂彈","亂彈","北管（一種曲調）","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"903","ûn-chng","un5-chng","ûn-tsng","un5-tsng","ûn庄","ûn庄","繞境","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"904","pê-lêng-chûn-pí-sài","pe5-leng5-chun5-pi2-sai3","pê-lîng-tsûn-pí-sài","pe5-ling5-tsun5-pi2-sai3","扒龍船比賽","扒龍船比賽","賽龍船","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"905","tùi Liông-san-sī khí-kiâⁿ","tui3 Liong5-san-si7 khi2-kiann5","tuì Liông-san-sī khí-kiânn","tui3 Liong5-san-si7 khi2-kiann5","對龍山寺起行","對龍山寺起行","從龍山寺出發","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"906","hâng-ngó͘ iû-ke lāu-jia̍t kún-kún","hang5-ngoo2 iu5-ke lau7-jiat8 kun2-kun2","hâng-ngóo iû-ke lāu-jia̍t kún-kún","hang5-ngoo2 iu5-ke lau7-jiat8 kun2-kun2","行伍遊街熱鬧滾滾","行伍遊街熱鬧滾滾","隊伍熱鬧踩街","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"907","Choân Tâi-oân kan-na chia ū.","Choan5 Tai5-oan5 kan-na chia u7.","Tsuân Tâi-uân kan-na tsia ū.","Tsuan5 Tai5-uan5 kan-na tsia u7.","全台灣kan-na遮有","全台灣kan-na遮有","全台唯一","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"908","kòe kau giú-tōa-soh","koe3 kau giu2-toa7-soh","kuè kau giú-tuā-soh","kue3 kau giu2-tua7-soh","過溝搝大索","過溝搝大索","隔岸拔河","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"909","kòe kau khiú-tōa-soh","koe3 kau khiu2-toa7-soh","kuè kau khiú-tuā-soh","kue3 kau khiu2-tua7-soh","過溝搝大索","過溝搝大索","隔岸拔河","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"910","giú-tōa-soh","giu2-toa7-soh","giú-tuā-soh","giu2-tua7-soh","搝大索","搝大索","拔河","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"911","khiú-tōa-soh","khiu2-toa7-soh","khiú-tuā-soh","khiu2-tua7-soh","搝大索","搝大索","拔河","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"912","siōng-hiáⁿ-ba̍k","siong7-hiann2-bak8","siōng-hiánn-ba̍k","siong7-hiann2-bak8","上顯目","上顯目","最亮眼","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"913","Gūi","Gui7","Guī","Gui7","魏","魏","魏","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"914","hâng-ngó͘","hang5-ngoo2","hâng-ngóo","hang5-ngoo2","行伍","行伍","隊伍","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"915","pê-lêng-chûn-pí-sài","pe5-leng5-chun5-pi2-sai3","pê-lîng-tsûn-pí-sài","pe5-ling5-tsun5-pi2-sai3","扒龍船","扒龍船","划龍舟","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"916","lán-lâng","lan2-lang5","lán-lâng","lan2-lang5","咱人","咱人","農曆","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"917","khiân-sêng","khian5-seng5","khiân-sîng","khian5-sing5","虔誠","虔誠","虔誠","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"918","khoe-ho̍k","khoe-hok8","khue-ho̍k","khue-hok8","恢復","恢復","恢復","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"919","Gō͘-goe̍h-gō͘, lêng-chûn kó͘, móa ke-lō͘","Goo7-goeh8-goo7, leng5-chun5 koo2, moa2 ke-loo7","Gōo-gue̍h-gōo, lîng-tsûn kóo, muá ke-lōo","Goo7-gueh8-goo7, ling5-tsun5 koo2, mua2 ke-loo7","五月五，龍船鼓，滿街路。","五月五，龍船鼓，滿街路。","","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"920","Bô chia̍h gō͘-ji̍t-cheh-chàng, phòa-hiû m̄-kam pàng.","Bo5 chiah8 goo7-jit8-cheh-chang3, phoa3-hiu5 m7-kam pang3.","Bô tsia̍h gōo-ji̍t-tseh-tsàng, phuà-hiû m̄-kam pàng.","Bo5 tsiah8 goo7-jit8-tseh-tsang3, phua3-hiu5 m7-kam pang3.","無食五日節粽，破裘毋甘放。","無食五日節粽，破裘毋甘放。","","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"921","Sì--goe̍h Bông-chéng hō͘, gō͘--goe̍h bô ta-tô͘.","Si3--goeh8 Bong5-cheng2 hoo7, goo7--goeh8 bo5 ta-too5.","Sì--gue̍h Bông-tsíng hōo, gōo--gue̍h bô ta-tôo.","Si3--gueh8 Bong5-tsing2 hoo7, goo7--gueh8 bo5 ta-too5.","4--月芒種雨，5--月無焦塗。","4--月芒種雨，5--月無焦塗。","","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"922","Gō͘-ji̍t-cheh","Goo7-jit8-cheh","Gōo-ji̍t-tseh","Goo7-jit8-tseh","五日節","五日節","端午節","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"923","Gō͘-ji̍t-choeh","Goo7-jit8-choeh","Gōo-ji̍t-tsueh","Goo7-jit8-tsueh","五日節","五日節","端午節","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"924","Gō͘-goe̍h-cheh","Goo7-goeh8-cheh","Gōo-gue̍h-tseh","Goo7-gueh8-tseh","五月節","五月節","端午節","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"925","Gō͘-goe̍h-choeh","Goo7-goeh8-choeh","Gōo-gue̍h-tsueh","Goo7-gueh8-tsueh","五月節","五月節","端午節","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"926","Bah-chàng-cheh","Bah-chang3-cheh","Bah-tsàng-tseh","Bah-tsang3-tseh","肉粽節","肉粽節","端午節","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"927","Bah-chàng-choeh","Bah-chang3-choeh","Bah-tsàng-tsueh","Bah-tsang3-tsueh","肉粽節","肉粽節","端午節","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"928","kēng-tō͘","keng7-too7","kīng-tōo","king7-too7","競渡","競渡","賽船","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"929","Bú-chhin-chiat","Bu2-chhin-chiat","Bú-tshin-tsiat","Bu2-tshin-tsiat","母親節","母親節","母親節","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"930","Chia̍h bah chia̍h sam-chân, khòaⁿ-hì khòaⁿ lān-thân","Chiah8 bah chiah8 sam-chan5, khoann3-hi3 khoann3 lan7-than5","Tsia̍h bah tsia̍h sam-tsân, khuànn-hì khuànn lān-thân","Tsiah8 bah tsiah8 sam-tsan5, khuann3-hi3 khuann3 lan7-than5","食肉食三層，看戲看亂彈","食肉食三層，看戲看亂彈","肉是三層肉最好吃，戲是亂彈最好看","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"931","tek-pâi-á","tek-pai5-a2","tik-pâi-á","tik-pai5-a2","竹棑仔","竹棑仔","竹筏","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"932","san-pán-á","san-pan2-a2","san-pán-á","san-pan2-a2","舢舨仔","舢舨仔","舢舨","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"933","gî-sek","gi5-sek","gî-sik","gi5-sik","儀式","儀式","儀式","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"934","sak-chò-tui","sak-cho3-tui","sak-tsò-tui","sak-tso3-tui","捒做堆","捒做堆","送做堆","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"935","kím-phiau","kim2-phiau","kím-phiau","kim2-phiau","錦標","錦標","錦標","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"936","gím-phiau","gim2-phiau","gím-phiau","gim2-phiau","錦標","錦標","錦標","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"937","liông","liong5","liông","liong5","龍","龍","龍","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"938","lêng-chûn","leng5-chun5","lîng-tsûn","ling5-tsun5","龍船","龍船","龍船","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"939","Ａ hō͘Ｂ(phah) kah mi-mi-mauh-mauh","Ａ hooＢ7(phah) kah mi-mi-mauh-mauh","Ａ hōoＢ(phah) kah mi-mi-mauh-mauh","Ａ hooＢ7(phah) kah mi-mi-mauh-mauh","Ａ予Ｂ（拍）甲mi-mi-mauh-mauh","Ａ予Ｂ（拍）甲mi-mi-mauh-mauh","","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"940","kan-naＯＯtō thàn kah péng--kòe--ah。","kan-naＯＯto7 than3 kah peng2--koe3--ah。","kan-nāＯＯto thàn kah píng--kuè--ah。","kan-naＯＯto7 than3 kah ping2--kue3--ah。","kan-naＯＯ就趁甲péng--過--ah。","kan-naＯＯ就趁甲píng--過--ah。","","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"941","Góa si̍t-chāi tòe lí bē tio̍h","Goa2 sit8-chai7 toe3 li2 be7 tioh8","Guá si̍t-tsāi tuè lí bē tio̍h","Gua2 sit8-tsai7 tue3 li2 be7 tioh8","我實在tòe你袂著。","我實在tuè你袂著。","","","","【民視台灣學堂】台語講世事","2018.06.14","https://youtu.be/I0MnuykW-QE"
"942","hoan-tiám","hoan-tiam2","huan-tiám","huan-tiam2","翻點","翻點","過午夜十二點","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"943","khiáu chhiú-ki-á","khiau2 chhiu2-ki-a2","khiáu tshiú-ki-á","khiau2 tshiu2-ki-a2","巧手機仔","巧手機仔","智慧型手機","","相關詞：lê-á-khak chhiú-ki-á(螺仔殼手機仔/傳統型)","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"944","sûi-sin tiān-goân","sui5-sin tian7-goan5","suî-sin tiān-guân","sui5-sin tian7-guan5","隨身電源","隨身電源","行動電源/行充","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"945","chū-hip","chu7-hip","tsū-hip","tsu7-hip","自翕","自翕","自拍","","相關詞：chū-hip-kùn-á(自翕棍仔)","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"946","saⁿ-kha-tú","sann-kha-tu2","sann-kha-tú","sann-kha-tu2","三跤拄","三跤拄","腳架","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"947","pháiⁿ-siaⁿ-sàu phih-pheh-kiò","phainn2-siann-sau3 phih-pheh-kio3","pháinn-siann-sàu phih-pheh-kiò","phainn2-siann-sau3 phih-pheh-kio3","歹聲嗽phih-pheh叫","歹聲嗽phih-pheh叫","口氣越說越大聲","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"948","khí-sèng-tē","khi2-seng3-te7","khí-sìng-tē","khi2-sing3-te7","起性地","起性地","氣到發飆","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"949","beh kā kū ha̍p-iok kái-tû","beh ka7 ku7 hap8-iok kai2-tu5","beh kā kū ha̍p-iok kái-tû","beh ka7 ku7 hap8-iok kai2-tu5","欲kā舊合約解除","欲kā舊合約解除","要解除舊合約","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"950","ti̍t-ti̍t-thut-chhôe","tit8-tit8-thut-chhoe5","ti̍t-ti̍t-thut-tshuê","tit8-tit8-thut-tshue5","直直脫箠","直直脫箠","大出包","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"951","chim-chiok ka khòaⁿ","chim-chiok ka khoann3","tsim-tsiok ka khuànn","tsim-tsiok ka khuann3","斟酌ka看","斟酌ka看","你細一看","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"952","lóng ē ka pān kah hó-sè","long2 e7 ka pan7 kah ho2-se3","lóng ē ka pān kah hó-sè","long2 e7 ka pan7 kah ho2-se3","攏會ka辦甲好勢","攏會ka辦甲好勢","都會幫忙處理完","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"953","soah mā ài tòe-leh tán kàu pan-kah háu","soah ma7 ai3 toe3-leh tan2 kau3 pan-kah hau2","suah mā ài tuè-leh tán kàu pan-kah háu","suah ma7 ai3 tue3-leh tan2 kau3 pan-kah hau2","煞嘛愛tòe咧等到斑鴿吼","煞嘛愛tuè咧等到斑鴿吼","也得跟著等到天荒地老","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"954","kiông-beh chih-chài bē tiâu","kiong5-beh chih-chai3 be7 tiau5","kiông-beh tsih-tsài bē tiâu","kiong5-beh tsih-tsai3 be7 tiau5","強欲chih載袂牢","強欲tsih載袂牢","幾乎快癱瘓","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"955","khì ho͘ khan-thoa--tio̍h","khi3 hoo khan-thoa--tioh8","khì hoo khan-thua--tio̍h","khi3 hoo khan-thua--tioh8","去予牽拖--著","去予牽拖--著","受波及","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"956","sio-cheⁿ/saⁿ-cheⁿ/sio-chiⁿ/saⁿ-chiⁿ kông beh khì pān","sio-chenn/sann-chenn/sio-chinn/sann-chinn kong5 beh khi3 pan7","sio-tsenn/sann-tsenn/sio-tsinn/sann-tsinn kông beh khì pān","sio-tsenn/sann-tsenn/sio-tsinn/sann-tsinn kong5 beh khi3 pan7","相爭狂欲去辦","相爭狂欲去辦","一窩蜂搶辦","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"957","kám ū-iáⁿ ē-hô","kam2 u7-iann2 e7-ho5","kám ū-iánn ē-hô","kam2 u7-iann2 e7-ho5","敢有影會和?","敢有影會和?","真的划算嗎?","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"958","tú-á chiah pān","tu2-a2 chiah pan7","tú-á tsiah pān","tu2-a2 tsiah pan7","拄仔才辦","拄仔才辦","才剛申辦","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"959","chia̍h-bián-kiaⁿ án-ne chiàn--lo̍h-lâi, tì-sú bē-chió “chai-eh”","chiah8-bian2-kiann an2-ne chian3--loh8-lai5, ti3-su2 be7-chio2 “chai-eh”","tsia̍h-bián-kiann án-ne tsiàn--lo̍h-lâi, tì-sú bē-tsió “tsai-eh”","tsiah8-bian2-kiann an2-ne tsian3--loh8-lai5, ti3-su2 be7-tsio2 “tsai-eh”","食免驚按呢戰--落-來，致使袂少「災厄」","食免驚按呢戰--落-來，致使袂少「災厄」","吃到飽大戰，傳出不少「災情」","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"960","chia̍h-bián-kiaⁿ","chiah8-bian2-kiann","tsia̍h-bián-kiann","tsiah8-bian2-kiann","食免驚","食免驚","吃到飽","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"961","chia̍h-thàng-hái","chiah8-thang3-hai2","tsia̍h-thàng-hái","tsiah8-thang3-hai2","食迵海","食迵海","吃到飽","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"962","pa̍k-iok","pak8-iok","pa̍k-iok","pak8-iok","縛約","縛約","綁約","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"963","lô-tōng-kio̍k","lo5-tong7-kiok8","lô-tōng-kio̍k","lo5-tong7-kiok8","勞動局","勞動局","勞動局","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"964","bāng-lō͘","bang7-loo7","bāng-lōo","bang7-loo7","網路","網路","網路","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"965","sìn-hō","sin3-ho7","sìn-hō","sin3-ho7","信號","信號","信號","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"966","oái-fái","oai2-fai2","uái-fái","uai2-fai2","oái-fái","uái-fái","WIFI","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"967","tì-hūi-hêng-chhiú-ki-á","ti3-hui7-heng5-chhiu2-ki-a2","tì-huī-hîng-tshiú-ki-á","ti3-hui7-hing5-tshiu2-ki-a2","智慧型手機仔","智慧型手機仔","智慧型手機","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"968","lê-á-khak-chhiú-ki-á","le5-a2-khak-chhiu2-ki-a2","lê-á-khak-tshiú-ki-á","le5-a2-khak-tshiu2-ki-a2","螺仔殼手機仔","螺仔殼手機仔","貝殼機","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"969","hêng-tōng-tiān-goân","heng5-tong7-tian7-goan5","hîng-tōng-tiān-guân","hing5-tong7-tian7-guan5","行動電源","行動電源","行動電源","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"970","nâ-gê","na5-ge5","nâ-gê","na5-ge5","藍牙","藍牙","藍芽(Bluetooth )","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
"971","nâ-khí","na5-khi2","nâ-khí","na5-khi2","藍齒","藍齒","藍芽(Bluetooth )","","","【民視台灣學堂】台語講世事","2018.06.21","https://youtu.be/FCARb0AB07M"
